#Cont nu	incident	atten	VAR4	VAR5	nu dr	inci dr
3.171000000000000e+3	4.583999999999999e-7	4.583999999999999e-7			1.181000000000000e-1	3.707000000000000e-3
3.155000000000000e+3	4.653000000000000e-7	4.653000000000000e-7			1.175000000000000e-1	3.670000000000000e-3
3.140000000000000e+3	4.724000000000000e-7	4.724000000000000e-7			1.169000000000000e-1	3.634000000000000e-3
3.124000000000000e+3	4.795000000000000e-7	4.795000000000000e-7			1.163000000000000e-1	3.598000000000000e-3
3.108000000000000e+3	4.867000000000000e-7	4.867000000000000e-7			1.158000000000000e-1	3.563000000000000e-3
3.093000000000000e+3	4.940999999999999e-7	4.940999999999999e-7			1.152000000000000e-1	3.528000000000000e-3
3.077000000000000e+3	5.015999999999999e-7	5.015999999999999e-7			1.146000000000000e-1	3.493000000000000e-3
3.062000000000000e+3	5.091000000000000e-7	5.091000000000000e-7			1.140000000000000e-1	3.458000000000000e-3
3.047000000000000e+3	5.167999999999999e-7	5.167999999999999e-7			1.135000000000000e-1	3.424000000000000e-3
3.032000000000000e+3	5.246000000000000e-7	5.246000000000000e-7			1.129000000000000e-1	3.390000000000000e-3
3.017000000000000e+3	5.325999999999999e-7	5.325999999999999e-7			1.123000000000000e-1	3.357000000000000e-3
3.001000000000000e+3	5.405999999999999e-7	5.405999999999999e-7			1.118000000000000e-1	3.324000000000000e-3
2.986000000000000e+3	5.488000000000000e-7	5.488000000000000e-7			1.112000000000000e-1	3.291000000000000e-3
2.972000000000000e+3	5.571000000000000e-7	5.571000000000000e-7			1.107000000000000e-1	3.243000000000000e-3
2.957000000000000e+3	5.655000000000000e-7	5.655000000000000e-7			1.101000000000000e-1	3.171000000000000e-3
2.942000000000000e+3	5.740000000000000e-7	5.740000000000000e-7			1.096000000000000e-1	3.099000000000000e-3
2.927000000000000e+3	5.827000000000000e-7	5.827000000000000e-7			1.090000000000000e-1	3.030000000000000e-3
2.913000000000000e+3	5.914999999999999e-7	5.914999999999999e-7			1.085000000000000e-1	2.961000000000000e-3
2.898000000000000e+3	6.005000000000000e-7	6.005000000000000e-7			1.079000000000000e-1	2.894000000000000e-3
2.884000000000000e+3	6.095000000000000e-7	6.095000000000000e-7			1.074000000000000e-1	2.829000000000000e-3
2.869000000000000e+3	6.186999999999999e-7	6.186999999999999e-7			1.069000000000000e-1	2.765000000000000e-3
2.855000000000000e+3	6.280999999999999e-7	6.280999999999999e-7			1.063000000000000e-1	2.703000000000000e-3
2.841000000000000e+3	6.376000000000000e-7	6.376000000000000e-7			1.058000000000000e-1	2.642000000000000e-3
2.827000000000000e+3	6.472000000000000e-7	6.472000000000000e-7			1.053000000000000e-1	2.583000000000000e-3
2.813000000000000e+3	6.570000000000000e-7	6.570000000000000e-7			1.047000000000000e-1	2.524000000000000e-3
2.799000000000000e+3	6.669000000000000e-7	6.669000000000000e-7			1.042000000000000e-1	2.467000000000000e-3
2.785000000000000e+3	6.770000000000000e-7	6.770000000000000e-7			1.037000000000000e-1	2.412000000000000e-3
