#Cont nu	total qheat	no qheat	qheat & PAHs
3.759000000000000e+3	1.252000000000000e-29	1.267000000000000e-29	1.267000000000000e-29
3.740000000000000e+3	1.268000000000000e-29	1.284000000000000e-29	1.284000000000000e-29
3.721000000000000e+3	1.285000000000000e-29	1.302000000000000e-29	1.302000000000000e-29
3.703000000000000e+3	1.302000000000000e-29	1.319000000000000e-29	1.319000000000000e-29
3.684000000000000e+3	1.320000000000000e-29	1.337000000000000e-29	1.337000000000000e-29
3.666000000000000e+3	1.338000000000000e-29	1.356000000000000e-29	1.356000000000000e-29
3.648000000000000e+3	1.357000000000000e-29	1.375000000000000e-29	1.375000000000000e-29
3.629000000000000e+3	1.376000000000000e-29	1.394000000000000e-29	1.394000000000000e-29
3.611000000000000e+3	1.395000000000000e-29	1.414000000000000e-29	1.414000000000000e-29
3.593000000000000e+3	1.415000000000000e-29	1.434000000000000e-29	1.434000000000000e-29
3.575000000000000e+3	1.435000000000000e-29	1.455000000000000e-29	1.455000000000000e-29
3.558000000000000e+3	1.455000000000000e-29	1.476000000000000e-29	1.476000000000000e-29
3.540000000000000e+3	1.476000000000000e-29	1.497000000000000e-29	1.497000000000000e-29
3.522000000000000e+3	1.497000000000000e-29	1.519000000000000e-29	1.519000000000000e-29
3.505000000000000e+3	1.519000000000000e-29	1.541000000000000e-29	1.541000000000000e-29
3.487000000000000e+3	1.541000000000000e-29	1.564000000000000e-29	1.564000000000000e-29
3.470000000000000e+3	1.564000000000000e-29	1.587000000000000e-29	1.587000000000000e-29
3.452000000000000e+3	1.587000000000000e-29	1.611000000000000e-29	1.611000000000000e-29
3.435000000000000e+3	1.611000000000000e-29	1.635000000000000e-29	1.635000000000000e-29
3.418000000000000e+3	1.635000000000000e-29	1.660000000000000e-29	1.660000000000000e-29
3.401000000000000e+3	1.660000000000000e-29	1.686000000000000e-29	1.686000000000000e-29
3.384000000000000e+3	1.686000000000000e-29	1.712000000000000e-29	1.712000000000000e-29
3.367000000000000e+3	1.712000000000000e-29	1.739000000000000e-29	1.739000000000000e-29
3.350000000000000e+3	1.738000000000000e-29	1.766000000000000e-29	1.766000000000000e-29
3.334000000000000e+3	1.765000000000000e-29	1.793000000000000e-29	1.793000000000000e-29
3.317000000000000e+3	1.793000000000000e-29	1.822000000000000e-29	1.822000000000000e-29
