freq	gra abs	gra scat	sil abs	sil scat
8.233900000000000e-2	8.609999999999998e-23	4.970000000000000e-23	8.390000000000000e-24	1.420000000000000e-23
8.483900000000000e-2	8.950000000000000e-23	5.230000000000000e-23	8.760000000000000e-24	1.530000000000000e-23
8.741400000000000e-2	9.279999999999998e-23	5.439999999999999e-23	9.170000000000000e-24	1.640000000000000e-23
9.006800000000000e-2	9.620000000000000e-23	5.670000000000000e-23	9.590000000000000e-24	1.760000000000000e-23
9.280200000000000e-2	9.969999999999998e-23	5.899999999999999e-23	1.000000000000000e-23	1.890000000000000e-23
9.561900000000000e-2	1.030000000000000e-22	6.139999999999999e-23	1.050000000000000e-23	2.030000000000000e-23
9.852200000000000e-2	1.070000000000000e-22	6.340000000000000e-23	1.100000000000000e-23	2.190000000000000e-23
1.015100000000000e-1	1.110000000000000e-22	6.549999999999999e-23	1.150000000000000e-23	2.360000000000000e-23
1.045900000000000e-1	1.160000000000000e-22	6.759999999999999e-23	1.210000000000000e-23	2.540000000000000e-23
1.077700000000000e-1	1.200000000000000e-22	6.959999999999999e-23	1.260000000000000e-23	2.730000000000000e-23
1.110400000000000e-1	1.240000000000000e-22	7.129999999999999e-23	1.310000000000000e-23	2.920000000000000e-23
1.144100000000000e-1	1.290000000000000e-22	7.309999999999998e-23	1.360000000000000e-23	3.130000000000000e-23
1.178900000000000e-1	1.340000000000000e-22	7.490000000000000e-23	1.420000000000000e-23	3.350000000000000e-23
1.214600000000000e-1	1.390000000000000e-22	7.650000000000000e-23	1.480000000000000e-23	3.570000000000000e-23
1.251500000000000e-1	1.440000000000000e-22	7.809999999999998e-23	1.540000000000000e-23	3.780000000000000e-23
1.289500000000000e-1	1.490000000000000e-22	7.959999999999998e-23	1.610000000000000e-23	4.010000000000000e-23
1.328700000000000e-1	1.540000000000000e-22	8.129999999999998e-23	1.670000000000000e-23	4.249999999999999e-23
1.369000000000000e-1	1.600000000000000e-22	8.250000000000000e-23	1.750000000000000e-23	4.470000000000000e-23
1.410500000000000e-1	1.650000000000000e-22	8.369999999999998e-23	1.830000000000000e-23	4.710000000000000e-23
