VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
1.356981400993131e+0				2.275000000000000e+1	P  8
1.436957330669449e+0				2.735000000000000e+1	P  9
1.492481010128877e+0				3.108000000000000e+1	P 10
1.548020694905531e+0				3.531999999999999e+1	P 11
1.613947476780350e+0				4.111000000000000e+1	P 12
1.652149605401653e+0				4.488999999999999e+1	P 13
2.319938439980308e+0				2.089000000000000e+2	P 14
2.354492600589436e+0				2.262000000000000e+2	P 15
-1.194722218011949e-1				7.595000000000000e-1	S  1
2.324878663529862e-1				1.708000000000000e+0	S  2
4.094258686714433e-1				2.567000000000000e+0	S  3
5.344068991378770e-1				3.423000000000000e+0	S  4
7.288405683399714e-1				5.356000000000000e+0	S  5
8.121108412030995e-1				6.487999999999999e+0	S  6
1.315340476627288e+0				2.067000000000000e+1	S  7
1.377852419006754e+0				2.387000000000000e+1	S  8
1.443888546777372e+0				2.779000000000000e+1	S  9
1.516799704081624e+0				3.287000000000000e+1	S 10
1.568788212315347e+0				3.705000000000000e+1	S 11
1.617419746737176e+0				4.144000000000000e+1	S 12
1.679881942112862e+0				4.784999999999999e+1	S 13
1.714078164981856e+0				5.177000000000000e+1	S 14
2.371806458507416e+0				2.354000000000000e+2	S 15
2.406199423663312e+0				2.548000000000000e+2	S 16
-1.963297381522486e-2				9.558000000000000e-1	Cl 1
2.427898094786765e-1				1.749000000000000e+0	Cl 2
4.650852875574328e-1				2.918000000000000e+0	Cl 3
5.935075893317652e-1				3.922000000000000e+0	Cl 4
6.975780336511131e-1				4.984000000000000e+0	Cl 5
8.502785525180371e-1				7.084000000000000e+0	Cl 6
9.197055345491210e-1				8.312000000000000e+0	Cl 7
1.409087369447835e+0				2.565000000000000e+1	Cl 8
1.471585054185190e+0				2.962000000000000e+1	Cl 9
1.523746466811564e+0				3.340000000000000e+1	Cl10
1.589614540631266e+0				3.887000000000000e+1	Cl11
1.638189640190837e+0				4.347000000000000e+1	Cl12
1.683317261921883e+0				4.823000000000000e+1	Cl13
1.739967696759509e+0				5.494999999999999e+1	Cl14
1.774443968924965e+0				5.948999999999999e+1	Cl15
2.432167269442588e+0				2.705000000000000e+2	Cl16
2.466719371681598e+0				2.929000000000000e+2	Cl17
6.258198422816310e-2				1.155000000000000e+0	Ar 1
3.087777736647211e-1				2.036000000000000e+0	Ar 2
4.753805931433611e-1				2.988000000000000e+0	Ar 3
6.420686273415041e-1				4.385999999999999e+0	Ar 4
7.392558032685106e-1				5.486000000000000e+0	Ar 5
8.260099777911003e-1				6.699000000000000e+0	Ar 6
9.613736275948011e-1				9.148999999999998e+0	Ar 7
1.023663918197793e+0				1.056000000000000e+1	Ar 8
1.488973524726508e+0				3.083000000000000e+1	Ar 9
1.541079767776629e+0				3.476000000000000e+1	Ar10
1.596597095626460e+0				3.950000000000000e+1	Ar11
1.659060072240938e+0				4.561000000000000e+1	Ar12
1.701136066092526e+0				5.025000000000000e+1	Ar13
1.744214724814166e+0				5.548999999999999e+1	Ar14
1.796018969347149e+0				6.252000000000000e+1	Ar15
1.830524514097258e+0				6.769000000000000e+1	Ar16
2.483872454222674e+0				3.047000000000000e+2	Ar17
2.509874285004719e+0				3.235000000000000e+2	Ar18
-4.971633613789969e-1				3.183000000000000e-1	K  1
3.679147387937526e-1				2.333000000000000e+0	K  2
5.275010109811202e-1				3.369000000000000e+0	K  3
6.524397475894202e-1				4.492000000000000e+0	K  4
7.843319480221482e-1				6.085999999999999e+0	K  5
8.676442339030984e-1				7.373000000000000e+0	K  6
9.370663120174280e-1				8.651000000000000e+0	K  7
1.054995861529141e+0				1.135000000000000e+1	K  8
1.110589710299249e+0				1.290000000000000e+1	K  9
1.565375502714073e+0				3.676000000000000e+1	K 10
1.620864475265121e+0				4.177000000000000e+1	K 11
1.665956029453957e+0				4.634000000000000e+1	K 12
1.718335578908507e+0				5.227999999999999e+1	K 13
1.761476779544701e+0				5.773999999999999e+1	K 14
1.800304577556199e+0				6.313999999999999e+1	K 15
1.852052808697850e+0				7.112999999999999e+1	K 16
1.882239848018823e+0				7.625000000000000e+1	K 17
2.527114111639805e+0				3.366000000000000e+2	K 18
2.561578368300960e+0				3.644000000000000e+2	K 19
-3.495953301319682e-1				4.471000000000000e-1	Ca 1
-5.868737463933798e-2				8.736000000000000e-1	Ca 2
5.726392970428133e-1				3.738000000000000e+0	Ca 3
6.940784620807594e-1				4.944000000000000e+0	Ca 4
7.947667979408210e-1				6.234000000000000e+0	Ca 5
9.023836844324714e-1				7.987000000000000e+0	Ca 6
9.717859378791144e-1				9.370999999999998e+0	Ca 7
1.034227260770550e+0				1.082000000000000e+1	Ca 8
1.141763230275788e+0				1.386000000000000e+1	Ca 9
1.190331698170291e+0				1.550000000000000e+1	Ca10
1.634779458145952e+0				4.312999999999999e+1	Ca11
1.686814954507317e+0				4.862000000000000e+1	Ca12
1.726971583682877e+0				5.333000000000000e+1	Ca13
1.778729923996112e+0				6.008000000000000e+1	Ca14
1.817565369559781e+0				6.569999999999999e+1	Ca15
1.856366323659248e+0				7.183999999999999e+1	Ca16
1.903795142741035e+0				8.013000000000000e+1	Ca17
1.929674317948588e+0				8.505000000000000e+1	Ca18
2.578868328666028e+0				3.792000000000000e+2	Ca19
2.604765884703887e+0				4.025000000000000e+2	Ca20
-2.670436304243754e-1				5.406999999999999e-1	Sc 1
-2.830676105013897e-2				9.369000000000000e-1	Sc 2
2.603099457949200e-1				1.821000000000000e+0	Sc 3
7.323133274712424e-1				5.398999999999999e+0	Sc 4
8.294967497201824e-1				6.752999999999999e+0	Sc 5
9.092885241622506e-1				8.114999999999998e+0	Sc 6
1.009875633712160e+0				1.023000000000000e+1	Sc 7
1.062205808819713e+0				1.154000000000000e+1	Sc 8
1.120902817614527e+0				1.321000000000000e+1	Sc 9
1.214843848047698e+0				1.640000000000000e+1	Sc10
1.263399331334002e+0				1.834000000000000e+1	Sc11
1.705436046585250e+0				5.075000000000000e+1	Sc12
1.748575616930992e+0				5.605000000000000e+1	Sc13
1.787389621352110e+0				6.129000000000000e+1	Sc14
1.834802054048699e+0				6.836000000000000e+1	Sc15
1.869290404209398e+0				7.400999999999998e+1	Sc16
1.899492196138132e+0				7.933999999999998e+1	Sc17
1.951240350324340e+0				8.938000000000000e+1	Sc18
1.977128900580682e+0				9.486999999999998e+1	Sc19
2.622006673006804e+0				4.187999999999999e+2	Sc20
2.647871765306232e+0				4.445000000000000e+2	Sc21
-3.018124301338776e-1				4.991000000000000e-1	Ti 1
-1.740661576301268e-3				9.960000000000000e-1	Ti 2
3.053513694466237e-1				2.020000000000000e+0	Ti 3
5.032457714651126e-1				3.186000000000000e+0	Ti 4
8.711057009855853e-1				7.432000000000000e+0	Ti 5
9.405662864900901e-1				8.720999999999998e+0	Ti 6
1.013258665283516e+0				1.031000000000000e+1	Ti 7
1.096910013008056e+0				1.250000000000000e+1	Ti 8
1.148910993109356e+0				1.409000000000000e+1	Ti 9
1.200850498091077e+0				1.588000000000000e+1	Ti10
1.294686624279443e+0				1.971000000000000e+1	Ti11
1.325925955771466e+0				2.118000000000000e+1	Ti12
1.757168192214272e+0				5.716999999999999e+1	Ti13
1.791690649020118e+0				6.190000000000000e+1	Ti14
1.839100782707153e+0				6.903999999999999e+1	Ti15
1.886547123391106e+0				7.700999999999998e+1	Ti16
1.921061890790278e+0				8.338000000000000e+1	Ti17
1.946943270697825e+0				8.850000000000000e+1	Ti18
1.990072334692153e+0				9.774000000000000e+1	Ti19
2.020361282647708e+0				1.048000000000000e+2	Ti20
2.665111737075051e+0				4.625000000000000e+2	Ti21
2.690993032099869e+0				4.909000000000000e+2	Ti22
-3.061851461105832e-1				4.941000000000000e-1	V  1
3.100428136353680e-2				1.074000000000000e+0	V  2
3.330440298234872e-1				2.153000000000000e+0	V  3
5.309676815719150e-1				3.396000000000000e+0	V  4
6.836772988186919e-1				4.827000000000000e+0	V  5
9.752479412406810e-1				9.446000000000000e+0	V  6
1.041392685158225e+0				1.100000000000000e+1	V  7
1.107209969647868e+0				1.280000000000000e+1	V  8
1.180125875164054e+0				1.514000000000000e+1	V  9
1.228656958108935e+0				1.693000000000000e+1	V 10
1.273695587930092e+0				1.878000000000000e+1	V 11
1.353531559077762e+0				2.257000000000000e+1	V 12
1.391816923613249e+0				2.465000000000000e+1	V 13
1.813247300897605e+0				6.505000000000000e+1	V 14
1.860697274052039e+0				7.255999999999998e+1	V 15
1.890867938811441e+0				7.777999999999998e+1	V 16
1.933993163831242e+0				8.589999999999998e+1	V 17
1.964165310621735e+0				9.208000000000000e+1	V 18
2.003029470553618e+0				1.007000000000000e+2	V 19
2.037426497940623e+0				1.090000000000000e+2	V 20
2.059184617631371e+0				1.146000000000000e+2	V 21
2.699664320202373e+0				5.007999999999999e+2	V 22
2.725584972270694e+0				5.315999999999999e+2	V 23
-3.105135516357521e-1				4.892000000000000e-1	Cr 1
8.314414314305224e-2				1.211000000000000e+0	Cr 2
3.573630306151428e-1				2.277000000000000e+0	Cr 3
5.587085705331657e-1				3.620000000000000e+0	Cr 4
7.079957464229290e-1				5.104999999999999e+0	Cr 5
8.225603369426922e-1				6.646000000000000e+0	Cr 6
1.072617476545237e+0				1.182000000000000e+1	Cr 7
1.131618664349126e+0				1.354000000000000e+1	Cr 8
1.193958978019187e+0				1.563000000000000e+1	Cr 9
1.252853030979893e+0				1.790000000000000e+1	Cr10
1.297979244159362e+0				1.986000000000000e+1	Cr11
1.339650157613684e+0				2.186000000000000e+1	Cr12
1.416141031168329e+0				2.607000000000000e+1	Cr13
1.450864692379766e+0				2.824000000000000e+1	Cr14
1.864985460659794e+0				7.327999999999998e+1	Cr15
1.908109540392552e+0				8.093000000000000e+1	Cr16
1.938319543342156e+0				8.675999999999998e+1	Cr17
1.981410840165888e+0				9.580999999999998e+1	Cr18
2.011570443597278e+0				1.027000000000000e+2	Cr19
2.041787318971752e+0				1.101000000000000e+2	Cr20
2.080626486921806e+0				1.204000000000000e+2	Cr21
2.102090525511836e+0				1.265000000000000e+2	Cr22
2.742803658469165e+0				5.530999999999999e+2	Cr23
2.760045327965810e+0				5.755000000000000e+2	Cr24
-2.627278234644566e-1				5.460999999999999e-1	Mn 1
5.880548667590679e-2				1.145000000000000e+0	Mn 2
3.886339693517892e-1				2.447000000000000e+0	Mn 3
5.795549604009986e-1				3.797999999999999e+0	Mn 4
7.253398159097371e-1				5.313000000000000e+0	Mn 5
8.468317528232573e-1				7.027999999999999e+0	Mn 6
9.474827365569186e-1				8.860999999999998e+0	Mn 7
1.155639633759776e+0				1.431000000000000e+1	Mn 8
1.211387552936859e+0				1.627000000000000e+1	Mn 9
1.259832699063483e+0				1.819000000000000e+1	Mn10
1.322426052405953e+0				2.101000000000000e+1	Mn11
1.363987829748491e+0				2.312000000000000e+1	Mn12
1.402261382454680e+0				2.525000000000000e+1	Mn13
1.475089803389007e+0				2.986000000000000e+1	Mn14
1.506369717095504e+0				3.209000000000000e+1	Mn15
