u	LTE	log(t)=4	log t 2	log t 0	log t -2	log t -4	log t -6	log t -8	log t -10
1.543000000000000e-2	2.464000000000000e+10	6.367200000000000e+9	6.367200000000000e+9	6.367200000000000e+9	6.115800000000000e+9	2.817100000000000e+8	2.976800000000000e+6	2.981200000000000e+4	2.981300000000000e+2
1.590000000000000e-2	2.693000000000000e+10	6.960900000000000e+9	6.960900000000000e+9	6.960900000000000e+9	6.631000000000000e+9	2.892700000000000e+8	3.048000000000000e+6	3.052300000000000e+4	3.052400000000000e+2
1.638000000000000e-2	2.944000000000000e+10	7.609800000000000e+9	7.609800000000000e+9	7.609800000000000e+9	7.181200000000000e+9	2.969800000000000e+8	3.120700000000000e+6	3.125000000000000e+4	3.125000000000000e+2
1.688000000000000e-2	3.218000000000000e+10	8.319000000000000e+9	8.319000000000000e+9	8.319000000000000e+9	7.767700000000000e+9	3.048500000000000e+8	3.195100000000000e+6	3.199300000000000e+4	3.199300000000000e+2
1.739000000000000e-2	3.517000000000000e+10	9.094000000000000e+9	9.094000000000000e+9	9.094000000000000e+9	8.391300000000000e+9	3.128700000000000e+8	3.271100000000000e+6	3.275200000000000e+4	3.275300000000000e+2
1.792000000000000e-2	3.844000000000000e+10	9.941100000000000e+9	9.941100000000000e+9	9.941100000000000e+9	9.053100000000000e+9	3.210500000000000e+8	3.348800000000000e+6	3.352900000000000e+4	3.352900000000000e+2
1.846000000000000e-2	4.201000000000000e+10	1.086700000000000e+10	1.086700000000000e+10	1.086700000000000e+10	9.753800000000000e+9	3.294000000000000e+8	3.428200000000000e+6	3.432200000000000e+4	3.432200000000000e+2
1.902000000000000e-2	4.591000000000000e+10	1.187800000000000e+10	1.187800000000000e+10	1.187800000000000e+10	1.049400000000000e+10	3.379000000000000e+8	3.509400000000000e+6	3.513300000000000e+4	3.513300000000000e+2
1.960000000000000e-2	5.018000000000000e+10	1.298300000000000e+10	1.298300000000000e+10	1.298400000000000e+10	1.127400000000000e+10	3.465800000000000e+8	3.592300000000000e+6	3.596200000000000e+4	3.596200000000000e+2
2.020000000000000e-2	5.483000000000000e+10	1.419100000000000e+10	1.419100000000000e+10	1.419100000000000e+10	1.209500000000000e+10	3.554300000000000e+8	3.677000000000000e+6	3.680800000000000e+4	3.680900000000000e+2
2.081000000000000e-2	5.992000000000000e+10	1.551100000000000e+10	1.551100000000000e+10	1.551100000000000e+10	1.295700000000000e+10	3.644600000000000e+8	3.763600000000000e+6	3.767400000000000e+4	3.767400000000000e+2
2.144000000000000e-2	6.548000000000000e+10	1.695300000000000e+10	1.695300000000000e+10	1.695300000000000e+10	1.386000000000000e+10	3.736600000000000e+8	3.852000000000000e+6	3.855700000000000e+4	3.855800000000000e+2
2.209000000000000e-2	7.155000000000000e+10	1.852800000000000e+10	1.852800000000000e+10	1.852800000000000e+10	1.480500000000000e+10	3.830400000000000e+8	3.942300000000000e+6	3.946000000000000e+4	3.946100000000000e+2
2.276000000000000e-2	7.818000000000000e+10	2.024900000000000e+10	2.024900000000000e+10	2.024900000000000e+10	1.579000000000000e+10	3.926100000000000e+8	4.034600000000000e+6	4.038300000000000e+4	4.038300000000000e+2
2.345000000000000e-2	8.543000000000000e+10	2.212900000000000e+10	2.212900000000000e+10	2.212900000000000e+10	1.681700000000000e+10	4.023700000000000e+8	4.128800000000000e+6	4.132400000000000e+4	4.132500000000000e+2
2.417000000000000e-2	9.334000000000000e+10	2.418300000000000e+10	2.418300000000000e+10	2.418300000000000e+10	1.788500000000000e+10	4.123200000000000e+8	4.225000000000000e+6	4.228600000000000e+4	4.228600000000000e+2
2.490000000000000e-2	1.020000000000000e+11	2.642600000000000e+10	2.642600000000000e+10	2.642700000000000e+10	1.899400000000000e+10	4.224600000000000e+8	4.323200000000000e+6	4.326800000000000e+4	4.326800000000000e+2
2.566000000000000e-2	1.114000000000000e+11	2.887700000000000e+10	2.887700000000000e+10	2.887700000000000e+10	2.014400000000000e+10	4.328000000000000e+8	4.423500000000000e+6	4.427100000000000e+4	4.427100000000000e+2
2.643000000000000e-2	1.217000000000000e+11	3.155400000000000e+10	3.155400000000000e+10	3.155400000000000e+10	2.133400000000000e+10	4.433400000000000e+8	4.525800000000000e+6	4.529400000000000e+4	4.529400000000000e+2
2.724000000000000e-2	1.330000000000000e+11	3.447700000000000e+10	3.447700000000000e+10	3.447700000000000e+10	2.256300000000000e+10	4.540800000000000e+8	4.630300000000000e+6	4.633800000000000e+4	4.633900000000000e+2
2.806000000000000e-2	1.453000000000000e+11	3.776400000000000e+10	3.776400000000000e+10	3.776400000000000e+10	2.410400000000000e+10	4.740500000000000e+8	4.830100000000000e+6	4.833700000000000e+4	4.833700000000000e+2
2.892000000000000e-2	1.587000000000000e+11	4.126000000000000e+10	4.126000000000000e+10	4.126000000000000e+10	2.543600000000000e+10	4.854700000000000e+8	4.941400000000000e+6	4.945000000000000e+4	4.945100000000000e+2
2.979000000000000e-2	1.733000000000000e+11	4.507800000000000e+10	4.507800000000000e+10	4.507800000000000e+10	2.680700000000000e+10	4.971100000000000e+8	5.055000000000000e+6	5.058600000000000e+4	5.058600000000000e+2
3.070000000000000e-2	1.893000000000000e+11	4.924600000000000e+10	4.924600000000000e+10	4.924600000000000e+10	2.821800000000000e+10	5.089800000000000e+8	5.170900000000000e+6	5.174500000000000e+4	5.174500000000001e+2
3.163000000000000e-2	2.068000000000000e+11	5.379800000000000e+10	5.379800000000000e+10	5.379800000000000e+10	2.966700000000000e+10	5.210600000000000e+8	5.289100000000000e+6	5.292700000000000e+4	5.292700000000000e+2
3.259000000000000e-2	2.259000000000000e+11	5.876700000000000e+10	5.876700000000000e+10	5.876700000000000e+10	3.115300000000000e+10	5.333800000000000e+8	5.409600000000000e+6	5.413200000000000e+4	5.413200000000001e+2
3.358000000000000e-2	2.467000000000000e+11	6.419300000000000e+10	6.419300000000000e+10	6.419300000000000e+10	3.267600000000000e+10	5.459200000000000e+8	5.532500000000000e+6	5.536100000000000e+4	5.536100000000000e+2
3.460000000000000e-2	2.694000000000000e+11	7.011500000000000e+10	7.011500000000000e+10	7.011500000000000e+10	3.423600000000000e+10	5.586900000000000e+8	5.657700000000000e+6	5.661300000000000e+4	5.661300000000000e+2
3.565000000000000e-2	2.942000000000000e+11	7.658100000000000e+10	7.658100000000000e+10	7.658100000000000e+10	3.583100000000000e+10	5.717000000000000e+8	5.785400000000000e+6	5.789000000000000e+4	5.789000000000000e+2
3.673000000000000e-2	3.212000000000000e+11	8.363800000000000e+10	8.363800000000000e+10	8.363800000000000e+10	3.746100000000000e+10	5.849400000000000e+8	5.915500000000000e+6	5.919100000000000e+4	5.919100000000000e+2
3.785000000000000e-2	3.507000000000000e+11	9.134000000000000e+10	9.134000000000000e+10	9.134000000000000e+10	3.912600000000000e+10	5.984200000000000e+8	6.048000000000000e+6	6.051600000000000e+4	6.051699999999999e+2
3.899000000000000e-2	3.830000000000000e+11	9.974600000000000e+10	9.974600000000000e+10	9.974700000000000e+10	4.082400000000000e+10	6.121500000000000e+8	6.183000000000000e+6	6.186700000000000e+4	6.186699999999999e+2
4.018000000000000e-2	4.181000000000000e+11	1.112500000000000e+11	1.112500000000000e+11	1.112500000000000e+11	4.390100000000000e+10	6.484900000000000e+8	6.547200000000000e+6	6.551000000000000e+4	6.551000000000000e+2
4.140000000000000e-2	4.564000000000000e+11	1.214900000000000e+11	1.214900000000000e+11	1.214900000000000e+11	4.573400000000000e+10	6.633000000000000e+8	6.693100000000000e+6	6.696900000000000e+4	6.696900000000001e+2
4.265000000000000e-2	4.983000000000000e+11	1.326500000000000e+11	1.326500000000000e+11	1.326500000000000e+11	4.760000000000000e+10	6.783700000000000e+8	6.841700000000000e+6	6.845500000000000e+4	6.845499999999999e+2
4.395000000000000e-2	5.439000000000000e+11	1.448400000000000e+11	1.448400000000000e+11	1.448400000000000e+11	4.949800000000000e+10	6.937000000000000e+8	6.992900000000000e+6	6.996700000000000e+4	6.996699999999999e+2
4.528000000000000e-2	5.937000000000000e+11	1.581300000000000e+11	1.581300000000000e+11	1.581300000000000e+11	5.142800000000000e+10	7.092800000000000e+8	7.146700000000000e+6	7.150600000000000e+4	7.150599999999999e+2
4.666000000000000e-2	6.480000000000000e+11	1.726300000000000e+11	1.726300000000000e+11	1.726300000000000e+11	5.338900000000000e+10	7.251200000000000e+8	7.303200000000000e+6	7.307100000000000e+4	7.307100000000000e+2
4.808000000000000e-2	7.072000000000000e+11	1.884500000000000e+11	1.884500000000000e+11	1.884500000000000e+11	5.538000000000000e+10	7.412300000000000e+8	7.462300000000000e+6	7.466200000000000e+4	7.466200000000000e+2
4.953000000000000e-2	7.717000000000000e+11	2.057000000000000e+11	2.057000000000000e+11	2.057000000000000e+11	5.740100000000000e+10	7.575900000000000e+8	7.624000000000000e+6	7.628000000000000e+4	7.628000000000000e+2
5.104000000000000e-2	8.421000000000000e+11	2.245200000000000e+11	2.245200000000000e+11	2.245200000000000e+11	5.945000000000000e+10	7.742100000000000e+8	7.788400000000000e+6	7.792400000000000e+4	7.792400000000000e+2
5.259000000000000e-2	9.188000000000000e+11	2.450300000000000e+11	2.450300000000000e+11	2.450400000000000e+11	6.152700000000000e+10	7.910800000000000e+8	7.955400000000000e+6	7.959400000000000e+4	7.959500000000000e+2
5.418000000000000e-2	1.002000000000000e+12	2.674100000000000e+11	2.674100000000000e+11	2.674100000000000e+11	6.363200000000000e+10	8.082100000000000e+8	8.125000000000000e+6	8.129100000000000e+4	8.129100000000000e+2
5.583000000000000e-2	1.094000000000000e+12	2.917900000000000e+11	2.917900000000000e+11	2.917900000000000e+11	6.576300000000000e+10	8.256000000000000e+8	8.297200000000000e+6	8.301300000000000e+4	8.301300000000000e+2
5.752000000000000e-2	1.193000000000000e+12	3.183800000000000e+11	3.183800000000000e+11	3.183800000000000e+11	6.792000000000000e+10	8.432400000000000e+8	8.472000000000000e+6	8.476200000000000e+4	8.476200000000000e+2
5.927000000000000e-2	1.301000000000000e+12	3.473600000000000e+11	3.473600000000000e+11	3.473600000000000e+11	7.010200000000000e+10	8.611400000000000e+8	8.649500000000000e+6	8.653700000000000e+4	8.653700000000000e+2
6.107000000000000e-2	1.419000000000000e+12	3.789500000000000e+11	3.789500000000000e+11	3.789500000000000e+11	7.230900000000000e+10	8.793000000000000e+8	8.829500000000000e+6	8.833800000000000e+4	8.833800000000000e+2
6.292000000000000e-2	1.548000000000000e+12	4.296200000000000e+11	4.296200000000000e+11	4.296200000000000e+11	7.988800000000000e+10	9.671200000000000e+8	9.710200000000000e+6	9.714900000000000e+4	9.714900000000000e+2
6.483000000000000e-2	1.688000000000000e+12	4.686600000000000e+11	4.686600000000000e+11	4.686600000000000e+11	8.234300000000000e+10	9.874700000000000e+8	9.912100000000000e+6	9.916900000000000e+4	9.916900000000000e+2
