Te	heat	VAR3	VAR4	VAR5	VAR6
1.145800000000000e+4	7.972100000000000e-24	1.182000000000000e-23	1.315500000000000e+4	7.390200000000000e-24	1.308600000000000e-23
1.315500000000000e+4	7.331200000000000e-24	1.420500000000000e-23	1.510300000000000e+4	6.789200000000001e-24	1.668800000000000e-23
1.510300000000000e+4	6.734799999999999e-24	1.791900000000000e-23	1.734000000000000e+4	6.230200000000000e-24	2.243500000000000e-23
1.734000000000000e+4	6.170200000000000e-24	2.375400000000000e-23	1.990800000000000e+4	5.687600000000000e-24	3.141400000000000e-23
1.990800000000000e+4	5.612200000000000e-24	3.272500000000000e-23	2.285700000000000e+4	5.135500000000000e-24	4.477399999999999e-23
2.285700000000000e+4	5.023300000000000e-24	4.580900000000000e-23	2.624200000000000e+4	4.548900000000000e-24	6.331299999999999e-23
2.624200000000000e+4	4.379999999999999e-24	6.334999999999998e-23	3.012900000000000e+4	3.939100000000000e-24	8.754600000000000e-23
3.012900000000000e+4	3.723700000000000e-24	8.516500000000000e-23	3.459100000000000e+4	3.368100000000000e-24	1.176000000000000e-22
3.459100000000000e+4	3.151600000000000e-24	1.108000000000000e-22	3.971400000000000e+4	2.902100000000000e-24	1.542100000000000e-22
3.971400000000000e+4	2.725400000000000e-24	1.406900000000000e-22	4.559600000000000e+4	2.556800000000000e-24	1.987100000000000e-22
4.559600000000000e+4	2.427400000000000e-24	1.754200000000000e-22	5.235000000000000e+4	2.310700000000000e-24	2.511900000000000e-22
5.235000000000000e+4	2.193600000000000e-24	2.142600000000000e-22	6.010300000000000e+4	2.121400000000000e-24	3.107300000000000e-22
6.010300000000000e+4	1.920300000000000e-24	2.557200000000000e-22	6.900500000000000e+4	1.952900000000000e-24	3.756300000000000e-22
6.900500000000000e+4	1.541800000000000e-24	2.951300000000000e-22	7.922500000000000e+4	1.757500000000000e-24	4.439899999999999e-22
7.922500000000000e+4	1.160400000000000e-24	3.240800000000000e-22	9.095900000000000e+4	1.495100000000000e-24	5.092500000000000e-22
9.095900000000000e+4	8.955000000000000e-25	3.338000000000000e-22	1.044300000000000e+5	1.160400000000000e-24	5.566499999999999e-22
1.044300000000000e+5	7.234300000000000e-25	3.218600000000000e-22	1.199000000000000e+5	8.386800000000000e-25	5.944600000000000e-22
1.199000000000000e+5	5.967400000000000e-25	3.047000000000000e-22	1.376500000000000e+5	5.854700000000000e-25	6.365900000000000e-22
1.376500000000000e+5	4.898300000000000e-25	3.076100000000000e-22	1.580400000000000e+5	4.073700000000000e-25	6.859700000000000e-22
1.580400000000000e+5	3.984700000000000e-25	3.380000000000000e-22	1.814500000000000e+5	2.846400000000000e-25	7.279200000000000e-22
