  20190923 # magic number
########################################################################
#
# Ionization potentials of all ions of all natural elements.
#
# Description of the columns:
#
# column 1 : element number (H = 1, He = 2, etc.)
# column 2 : charge before ionization (neutral = 0, etc)
# column 3 : ionization potential in cm^-1
# column 4 : uncertainty in ionization potential in cm^-1; 0, if unknown
# column 5 : literature reference, see bottom of file
# column 6 : spectrum of the ion before ionization
# column 7 : configuration of the ion after ionization
#
########################################################################
 21   9 1816200         400             # L7185                Sc X       	'Sc XI (3s 2S<1/2>)'
 21  10 2014760         38              # L10106               Sc XI      	'Sc XII (2p6 1S<0>)'
 21  11 5543900         1000            # L7185                Sc XII     	'Sc XIII (2p5 2P*<3/2>)'
 21  12 6111400         8200            # L11770               Sc XIII    	'Sc XIV (2p4 3P<2>)'
 21  13 6720000         11000           # L11770               Sc XIV     	'Sc XV (2p3 4S*<3/2>)'
 21  14 7472600         5400            # L11770               Sc XV      	'Sc XVI (2p2 3P<0>)'
 21  15 8135100         3600            # L11770               Sc XVI     	'Sc XVII (2p 2P*<1/2>)'
 21  16 8819500         2900            # L11770               Sc XVII    	'Sc XVIII (2s2 1S<0>)'
 21  17 9784000         3600            # L11770               Sc XVIII   	'Sc XIX (2s 2S<1/2>)'
 21  18 10388070        60              # L16264c99            Sc XIX     	'Sc XX (1s2 1S<0>)'
 21  19 45771185        5               # L12128               Sc XX      	'Sc XXI (1s 2S<1/2>)'
 21  20 48665510        10              # L7188                Sc XXI     	''
 22   0 55072.5         0.1             # L17996               Ti I       	'Ti II (3d2.4s 4F<3/2>)'
 22   1 109494          20              # L7185,L5432          Ti II      	'Ti III (3d2 3F<2>)'
 22   2 221735.6        2.0             # L7185,L3593          Ti III     	'Ti IV (3d 2D<3/2>)'
 22   3 348973.3        1.5             # L7185,L2753          Ti IV      	'Ti V (3p6 1S<0>)'
 22   4 800900          100             # L7185                Ti V       	'Ti VI (3p5 2P*<3/2>)'
 22   5 964100          200             # L7185                Ti VI      	'Ti VII (3p4 3P<2>)'
 22   6 1134660         1430            # L11770               Ti VII     	'Ti VIII (3p3 4S*<3/2>)'
 22   7 1374900         3000            # L11770               Ti VIII    	'Ti IX (3p2 3P<0>)'
 22   8 1549000         3000            # L7185                Ti IX      	'Ti X (3p 2P*<1/2>)'
 22   9 1741500         1000            # L7185                Ti X       	'Ti XI (3s2 1S<0>)'
 22  10 2137900         500             # L7185                Ti XI      	'Ti XII (3s 2S<1/2>)'
 22  11 2351109         43              # L11770               Ti XII     	'Ti XIII (2p6 1S<0>)'
 22  12 6353000         300             # L11691               Ti XIII    	'Ti XIV (2p5 2P*<3/2>)'
 22  13 6968700         9300            # L11770               Ti XIV     	'Ti XV (2p4 3P<2>)'
 22  14 7618000         13000           # L11770               Ti XV      	'Ti XVI (2p3 4S*<3/2>)'
 22  15 8408200         6600            # L11770               Ti XVI     	'Ti XVII (2p2 3P<0>)'
 22  16 9116000         4000            # L11770               Ti XVII    	'Ti XVIII (2p 2P*<1/2>)'
 22  17 9842400         3700            # L11770               Ti XVIII   	'Ti XIX (2s2 1S<0>)'
 22  18 10858900        3800            # L11770               Ti XIX     	'Ti XX (2s 2S<1/2>)'
 22  19 11495470        60              # L16264c99            Ti XX      	'Ti XXI (1s2 1S<0>)'
 22  20 50401766        5               # L12128               Ti XXI     	'Ti XXII (1s 2S<1/2>)'
 22  21 53440740        10              # L7188                Ti XXII    	''
 23   0 54411.67        0.17            # L17712,L20010        V  I       	'V II (3d4 5D<0>)'
 23   1 118030          60              # L20009               V  II      	'V III (3d3 4F<3/2>)'
 23   2 236410          20              # L7185,L704,L4746     V  III     	'V IV (3d2 3F<2>)'
 23   3 376730          40              # L7185,L147           V  IV      	'V V (3d 2D<3/2>)'
 23   4 526532.0        1.4             # L3917,L7185          V  V       	'V VI (3p6 1S<0>)'
 23   5 1033400         200             # L7185                V  VI      	'V VII (3p5 2P*<3/2>)'
 23   6 1215660         1040            # L11770               V  VII     	'V VIII (3p4 3P<2>)'
 23   7 1399800         1670            # L11770               V  VIII    	'V IX (3p3 4S*<3/2>)'
 23   8 1661200         3400            # L11770               V  IX      	'V X (3p2 3P<0>)'
 23   9 1859000         4000            # L7185                V  X       	'V XI (3p 2P*<1/2>)'
 23  10 2055100         3200            # L11770               V  XI      	'V XII (3s2 1S<0>)'
 23  11 2488200         2100            # L11770               V  XII     	'V XIII (3s 2S<1/2>)'
 23  12 2712233         47              # L11770               V  XIII    	'V XIV (2p6 1S<0>)'
 23  13 7227000         3000            # L7185                V  XIV     	'V XV (2p5 2P*<3/2>)'
 23  14 7881700         10600           # L11770               V  XV      	'V XVI (2p4 3P<2>)'
 23  15 8573000         16000           # L11770               V  XVI     	'V XVII (2p3 4S*<3/2>)'
 23  16 9398200         8900            # L11770               V  XVII    	'V XVIII (2p2 3P<0>)'
 23  17 10153400        4600            # L11770               V  XVIII   	'V XIX (2p 2P*<1/2>)'
 23  18 10922100        4300            # L11770               V  XIX     	'V XX (2s2 1S<0>)'
 23  19 11990800        4200            # L11770               V  XX      	'V XXI (2s 2S<1/2>)'
 23  20 12660130        60              # L16264c99            V  XXI     	'V XXII (1s2 1S<0>)'
 23  21 55259549        6               # L12128               V  XXII    	'V XXIII (1s 2S<1/2>)'
 23  22 58443920        10              # L7188                V  XXIII   	''
 24   0 54575.6         0.3             # L7185,L2832          Cr I       	'Cr II (3d5 6S<5/2>)'
 24   1 132971.02       0.12            # L18847               Cr II      	'Cr III (3d4 5D<0>)'
 24   2 249700          200             # L7185,L17500         Cr III     	'Cr IV (3d3 4F<3/2>)'
 24   3 396500          400             # L7185,L5498          Cr IV      	'Cr V (3d2 3F<2>)'
 24   4 560200          350             # L1933,L7185          Cr V       	'Cr VI (3d 2D<3/2>)'
 24   5 731020          6               # L7185,L2229          Cr VI      	'Cr VII (3p6 1S<0>)'
 24   6 1292830         520             # L11770               Cr VII     	'Cr VIII (3p5 2P*<3/2>)'
 24   7 1490230         1200            # L11770               Cr VIII    	'Cr IX (3p4 3P<2>)'
 24   8 1690070         2030            # L11770               Cr IX      	'Cr X (3p3 4S*<3/2>)'
 24   9 1972200         3900            # L11770               Cr X       	'Cr XI (3p2 3P<0>)'
 24  10 2184000         4000            # L7185                Cr XI      	'Cr XII (3p 2P*<1/2>)'
 24  11 2393400         4700            # L11770               Cr XII     	'Cr XIII (3s2 1S<0>)'
 24  12 2860500         2400            # L11770               Cr XIII    	'Cr XIV (3s 2S<1/2>)'
 24  13 3098480         50              # L11770               Cr XIV     	'Cr XV (2p6 1S<0>)'
 24  14 8159300         4100            # L11770               Cr XV      	'Cr XVI (2p5 2P*<3/2>)'
 24  15 8849700         11500           # L11770               Cr XVI     	'Cr XVII (2p4 3P<2>)'
 24  16 9582000         17000           # L11770c98            Cr XVII    	'Cr XVIII (2p3 4S*<3/2>)'
 24  17 10443000        13000           # L11770               Cr XVIII   	'Cr XIX (2p2 3P<0>)'
 24  18 11247400        5700            # L11770               Cr XIX     	'Cr XX (2p 2P*<1/2>)'
 24  19 12059000        5300            # L11770               Cr XX      	'Cr XXI (2s2 1S<0>)'
 24  20 13180000        4400            # L11770               Cr XXI     	'Cr XXII (2s 2S<1/2>)'
 24  21 13882280        60              # L16264c99            Cr XXII    	'Cr XXIII (1s2 1S<0>)'
 24  22 60345293        6               # L12128               Cr XXIII   	'Cr XXIV (1s 2S<1/2>)'
 24  23 63675850        20              # L7188                Cr XXIV    	''
 25   0 59959.560       0.010           # L19057               Mn I       	'Mn II (3d5.4s 7S<3>)'
 25   1 126145.0        0.6             # L7185,L562           Mn II      	'Mn III (3d5 6S<5/2>)'
 25   2 271550          100             # L7185,L457           Mn III     	'Mn IV (3d4 5D<0>)'
 25   3 413000          1000            # L7185,L241           Mn IV      	'Mn V (3d3 4F<3/2>)'
 25   4 584000          800             # L7185,L241c99        Mn V       	'Mn VI (3d2 3F<2>)'
 25   5 771100          200             # L7185                Mn VI      	'Mn VII (3d 2D<3/2>)'
 25   6 961440          100             # L7185,L5223          Mn VII     	'Mn VIII (3p6 1S<0>)'
 25   7 1576600         2800            # L11770               Mn VIII    	'Mn IX (3p5 2P*<3/2>)'
 25   8 1789630         1370            # L11770               Mn IX      	'Mn X (3p4 3P<2>)'
 25   9 2005400         2400            # L11770               Mn X       	'Mn XI (3p3 4S*<3/2>)'
 25  10 2307900         4300            # L11770               Mn XI      	'Mn XII (3p2 3P<0>)'
