#
# RATE05 - February 17 2006 - non-dipole - www.udfa.net
#
# REFERENCE: 
# Woodall, Ag\'undez, Markwick-Kemper, Millar, 2006, A\&A submitted.
#
# We strongly recommend you read the paper before attempting implementation of this data.
#
# *** NOTE: Exercise caution with use of the rate coefficients of the following reactions ***
# *** You need to do something about them, otherwise at 10 K you will get garbage results ***
# 93,172,267,283,289,311,314,353,355,379,421,433,445,448,450,459,468,490,492,493,495,503,
# 504,522,535,542,660,2938,2940,3527-8,3530-1,3546,3547,3549,3550,3552,3553,3575-3580,4001,4002,
# 4007,4008,4105,4109,4133,4551,4578,4586,4588,4589,4590,4594,4597,4598
#
# FORMAT:
# ix,reactant1,reactant2,reactant3,product1,product2,product3,product4,alpha,beta,gamma,clem,tmin,tmax,accuracy,source
#
160,CH,O2H,,O2,CH2,,,2.94E-13,0.50,7550.0,L,251,300,C,
161,CH,O2H,,HCO,OH,,,1.44E-11,0.50,3000.0,L,100,300,C,
162,CH,CO2,,HCO,CO,,,2.94E-13,0.50,3000.0,L,100,300,C,
163,N,CH2,,HCN,H,,,3.95E-11,0.17,0.0,C,10,300,B,SH04
164,N,CH2,,HNC,H,,,3.95E-11,0.17,0.0,C,10,300,B,SH04
165,N,CH2,,NH,CH,,,9.96E-13,0.00,20380.0,C,1000,4000,B,NIST
166,N,NH,,N2,H,,,4.98E-11,0.00,0.0,M,10,1400,A,NIST
167,N,CH3,,HCN,H,H,,3.32E-13,0.00,0.0,M,253,352,A,NIST
168,N,CH3,,HCN,H2,,,1.30E-11,0.50,0.0,M,10,300,B,NIST
169,N,CH3,,H2CN,H,,,7.40E-11,0.26,8.4,M,10,2000,A,NIST
170,N,OH,,O,NH,,,1.88E-11,0.10,10700.0,M,300,2500,C,NIST
171,N,OH,,NO,H,,,7.50E-11,-0.18,0.0,L,10,100,A,SH04
172,N,OH,,NO,H,,,4.06E-11,0.05,-78.0,L,103,2500,A,NIST
173,N,C2,,CN,C,,,5.00E-11,0.00,0.0,L,10,300,C,SH04
174,N,C2H,,C2N,H,,,1.70E-11,0.00,0.0,L,10,300,C,SH04
175,N,CN,,N2,C,,,3.00E-10,0.00,0.0,L,298,2500,C,NIST
