#			
# this is the "table1.dat" from the A&A web site, that goes with the paper			
# >>refer	all	dr	Mazzotta, P., Mazzitelli, G., Colafrancesco, S.,
# >>refercon	& Vittorio, N. 1998, A&AS, 113, 403-409		
#			
# anything starting with a # is a comment and is ignored			
#			
#   1-  8  A8    ---     Ion       Ion's label			
#  10- 20  E11.5 cm3/s   c1        c1 coefficient			
#  22- 32  E11.5 cm3/s   c2        ? c2 coefficient			
#  34- 44  E11.5 cm3/s   c3        ? c3 coefficient			
#  46- 56  E11.5 cm3/s   c4        ? c4 coefficient			
#  58- 64  F7.2  cm3/s   E1        E1 coefficient			
#  66- 72  F7.2  cm3/s   E2        ? E2 coefficient			
#  74- 79  F6.2  cm3/s   E3        ? E3 coefficient			
#  81- 86  F6.2  cm3/s   E4        ? E4 coefficient
#
# NB - this file is tab delimited, so formatting info not needed
#			
K  9	1.91E-08	4.04E-08	0.00E+00	0.00E+00	124.64	18.31	0	0
K 10	2.18E-07	0.00E+00	0.00E+00	0.00E+00	349.99	0	0	0
K 11	5.92E-08	2.06E-09	3.29E-07	0.00E+00	194.27	58.56	324.25	0
K 12	4.22E-09	5.14E-08	2.52E-07	0.00E+00	39.41	201.16	343.01	0
K 13	3.88E-08	7.14E-08	0.00E+00	0.00E+00	55.34	410.96	0	0
K 14	1.49E-07	8.98E-08	0.00E+00	0.00E+00	321.7	56.04	0	0
K 15	8.78E-08	1.05E-07	0.00E+00	0.00E+00	251.18	47.65	0	0
K 16	1.59E-07	2.02E-08	4.83E-08	0.00E+00	503.55	21.3	80.46	0
K 17	1.21E-08	1.68E-08	1.90E-07	0.00E+00	15.18	50.83	627.01	0
K 18	3.71E-07	0.00E+00	0.00E+00	0.00E+00	2904.8	0	0	0
K 19	1.95E-07	0.00E+00	0.00E+00	0.00E+00	3055.5	0	0	0
Ca 2	1.59E-10	0.00E+00	0.00E+00	0.00E+00	3.09	0	0	0
Ca 3	1.84E-08	0.00E+00	0.00E+00	0.00E+00	35.49	0	0	0
Ca 4	6.97E-08	0.00E+00	0.00E+00	0.00E+00	35.3	0	0	0
Ca 5	7.44E-08	0.00E+00	0.00E+00	0.00E+00	33.7	0	0	0
Ca 6	5.13E-08	0.00E+00	0.00E+00	0.00E+00	34.62	0	0	0
Ca 7	1.99E-08	9.34E-08	0.00E+00	0.00E+00	57.66	26.81	0	0
Ca 8	1.15E-07	0.00E+00	0.00E+00	0.00E+00	28.16	0	0	0
Ca 9	8.71E-08	0.00E+00	0.00E+00	0.00E+00	22.68	0	0	0
Ca10	3.53E-08	4.83E-08	0.00E+00	0.00E+00	162.14	20.08	0	0
Ca11	3.24E-07	0.00E+00	0.00E+00	0.00E+00	403.62	0	0	0
Ca12	2.27E-07	2.96E-07	4.22E-09	0.00E+00	273.87	411.36	71.41	0
Ca13	5.18E-08	4.81E-09	3.45E-07	0.00E+00	207.87	40.64	389.25	0
Ca14	4.38E-08	8.77E-08	0.00E+00	0.00E+00	59.55	448.94	0	0
Ca15	1.11E-07	4.18E-09	1.69E-07	0.00E+00	70.38	21.64	440.49	0
Ca16	6.41E-08	4.52E-07	0.00E+00	0.00E+00	58.44	500.92	0	0
Ca17	5.36E-08	1.25E-08	2.05E-07	0.00E+00	66.32	15.06	472.06	0
Ca18	1.38E-08	1.86E-08	2.05E-07	0.00E+00	15.77	56.46	643.42	0
Ca19	4.03E-07	0.00E+00	0.00E+00	0.00E+00	3210.4	0	0	0
Ca20	2.14E-07	0.00E+00	0.00E+00	0.00E+00	3221.7	0	0	0
Sc 2	1.94E-09	0.00E+00	0.00E+00	0.00E+00	5.07	0	0	0
