# Chemistry relevant to early universe.  Taken from Table 1 of Puy & Signore 1998
D2+,H=>HD+,D:hmrate:1.00e-09:0.00e+00:4.72e+02  		# Gay et al. 2011, reaction 230 (a)
HD,D=>D2,H:hmrate:1.15e-11:0.00e+00:3.22e+03  		# Gay et al. 2011, reaction 231 (a)
D2,H=>HD,D:hmrate:5.91e-12:1.49e+00:3.82e+03  		# Gay et al. 2011, reaction 232 (a)
H3+,D2=>H2D+,HD:hmrate:5.48e-10:9.17e-05:3.39e-01  		# Gay et al. 2011, reaction 233 (a)
H2D+,HD=>H3+,D2:hmrate:1.53e-11:4.94e-02:1.52e+02  		# Gay et al. 2011, reaction 234 (a)
H2D+,HD=>HD2+,H2:hmrate:1.50e-09:8.05e-03:7.40e-02  		# Gay et al. 2011, reaction 235 (a)
HD2+,H2=>H3+,D2:hmrate:1.56e-11:0.00e+00:3.25e+02  		# Gay et al. 2011, reaction 236 (a)
HD2+,H2=>H2D+,HD:hmrate:7.09e-10:5.29e-02:2.05e+02  		# Gay et al. 2011, reaction 237 (a)
HD2+,HD=>H2D+,D2:hmrate:1.23e-10:5.78e-02:1.56e+02  		# Gay et al. 2011, reaction 238 (a)
HD2+,HD=>D3+,H2:hmrate:7.37e-10:2.08e-05:-2.48e-01  		# Gay et al. 2011, reaction 239 (a)
H2D+,D2=>HD2+,HD:hmrate:1.00e-09:4.09e-04:1.94e-01  		# Gay et al. 2011, reaction 240 (a)
H2D+,D2=>D3+,H2:hmrate:3.87e-10:2.94e-04:-5.42e-01  		# Gay et al. 2011, reaction 241 (a)
D3+,H2=>HD2+,HD:hmrate:9.57e-10:0.00e+00:2.39e+02  		# Gay et al. 2011, reaction 242 (a)
H2D+,D=>HD2+,H:hmrate:9.49e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 243 (a)
D3+,H=>HD2+,D:hmrate:1.18e-09:0.00e+00:6.38e+02  		# Gay et al. 2011, reaction 244 (a)
HD2+,D=>D3+,H:hmrate:9.17e-10:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 245 (a)
HD2+,H=>H2D+,D:hmrate:1.20e-09:0.00e+00:5.92e+02  		# Gay et al. 2011, reaction 246 (a)
HD2+,D2=>D3+,HD:hmrate:1.16e-09:8.08e-05:1.37e-01  		# Gay et al. 2011, reaction 247 (a)
D3+,HD=>HD2+,D2:hmrate:4.20e-10:3.71e-02:1.59e+02  		# Gay et al. 2011, reaction 248 (a)
H+,D-=>HD+,e-:hmrate:9.72e-10:-0.40e+00:0.00e+00  		# Gay et al. 2011, reaction 249 (a)
D+,H-=>HD+,e-:hmrate:9.72e-10:-0.40e+00:0.00e+00  		# Gay et al. 2011, reaction 250 (a)
HD,He+=>HD+,He,PHOTON:hmrate:6.35e-15:0.00e+00:0.00e+00  		# Gay et al. 2011, reaction 251 (a)
HD,e-=>H,D-:hmrate:1.93e-11:-1.27e+00:4.30e+04  		# Gay et al. 2011, reaction 253 (a)
HD,e-=>D,H-:hmrate:1.93e-11:-1.27e+00:4.30e+04  		# Gay et al. 2011, reaction 254 (a)
D2,e-=>D,D-:hmrate:1.93e-11:-1.27e+00:4.30e+04  		# Gay et al. 2011, reaction 255 (a)
D-,PHOTON=>D,e-:hmphoto:1.:0.:0. 
#
#D,PHOTON=>D+,e-:hmrate:1.14e+07:0.98e+00:1.57e+05  		# Gay et al. 2011, reaction 7 (a)
#HD+,PHOTON=>H,D+:hmrate_exo:::  		# Gay et al. 2011, reaction 61 (b)
#HD+,PHOTON=>D,H+:hmrate_exo:::  		# Gay et al. 2011, reaction 63 (b)
#HeD+,PHOTON=>He,D+:hmrate_exo:::  		# Gay et al. 2011, reaction 79 (b)
#D2+,PHOTON=>D,D+:hmrate_exo:::  		# Gay et al. 2011, reaction 162 (b)
