SEQ='MG'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  98844513.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)   121229.7 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)   123422.5 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   291472.8 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   291754.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  99621259.4 NLVL=   172
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   138   534    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 23380282.7*
   139   535    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 23381592.0*
   140   536    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 23385926.5*
   141   537    1S1 2S2 2P6 3P2 3D1 (3)3( 2.0) 23388345.6*
   142   538    1S1 2S2 2P6 3P2 3D1 (3)3( 3.0) 23388514.8*
   143   539    1S1 2S2 2P6 3P2 3D1 (3)3( 4.0) 23388783.6*
   144   545    1S1 2S2 2P6 3P2 3D1 (1)3( 3.0) 23398025.9*
   145   546    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 23407960.0*
   146   547    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 23408116.7*
   147   548    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 23408326.6*
   148   552    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 23424141.0*
   149   553    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 23424198.2*
   150   554    1S1 2S2 2P6 3P2 3D1 (3)2( 3.0) 23424242.7*
   151   555    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 23424311.3*
   152   556    1S1 2S2 2P6 3P2 3D1 (3)2( 2.0) 23424750.0*
   153   557    1S1 2S2 2P6 3P2 3D1 (3)2( 1.0) 23425114.4*
   154   558    1S1 2S2 2P6 3P2 3D1 (1)2( 2.0) 23432904.4*
   155   559    1S1 2S2 2P6 3S1 3D2 (3)4( 3.0) 23442174.6*
   156   560    1S1 2S2 2P6 3S1 3D2 (3)4( 4.0) 23442189.6*
   157   561    1S1 2S2 2P6 3S1 3D2 (3)4( 5.0) 23442208.8*
   158   562    1S1 2S2 2P6 3S1 3D2 (3)2( 3.0) 23443528.0*
   159   563    1S1 2S2 2P6 3S1 3D2 (3)2( 2.0) 23443603.5*
   160   564    1S1 2S2 2P6 3S1 3D2 (3)2( 1.0) 23443647.8*
   161   565    1S1 2S2 2P6 3S1 3D2 (1)4( 4.0) 23457603.8*
   162   566    1S1 2S2 2P6 3S1 3D2 (1)2( 2.0) 23457770.4*
   163   567    1S1 2S2 2P6 3S1 3D2 (1)3( 3.0) 23474734.9*
   164   568    1S1 2S2 2P6 3S1 3D2 (3)3( 2.0) 23478769.1*
   165   569    1S1 2S2 2P6 3S1 3D2 (3)3( 3.0) 23478850.6*
   166   570    1S1 2S2 2P6 3S1 3D2 (3)3( 4.0) 23478957.9*
   167   571    1S1 2S2 2P6 3S1 3D2 (3)0( 1.0) 23480312.0*
   168   572    1S1 2S2 2P6 3S1 3D2 (1)0( 0.0) 23495737.4*
   169   573    1S1 2S2 2P6 3S1 3D2 (1)1( 1.0) 23497785.6*
   170   574    1S1 2S2 2P6 3S1 3D2 (3)1( 0.0) 23501603.4*
   171   575    1S1 2S2 2P6 3S1 3D2 (3)1( 1.0) 23501704.7*
   172   576    1S1 2S2 2P6 3S1 3D2 (3)1( 2.0) 23501904.3*
  
CL 6     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5
     3   470  3  -1    2.084269E+02   3.730E+09   8.776E+13   8.253E+14   1.571E+08   1.918E+07   8.532E+06   6.114E+06   4.309E+06
     2   472  3  -1    2.086564E+02   3.193E+12   9.801E+13   8.300E+14   2.906E+08   1.865E+11   7.448E+10   9.673E+06   3.037E+06
    10   472  3  -1    2.057824E+02   8.752E+09
    12   472  3  -1    2.057630E+02   5.687E+09
     1   473  3  -1    2.086686E+02   1.007E+13   9.803E+13   8.299E+14   7.062E+08   1.226E+11   1.335E+11   6.023E+07   5.711E+06
     2   473  3  -1    2.086626E+02   2.354E+12
     3   473  3  -1    2.086503E+02   2.332E+12
     9   473  3  -1    2.057933E+02   7.254E+09
    11   473  3  -1    2.057848E+02   1.530E+10
    12   473  3  -1    2.057692E+02   9.322E+09
    13   473  3  -1    2.057660E+02   9.043E+09
     2   474  3  -1    2.086745E+02   4.326E+12   9.805E+13   8.297E+14   2.126E+09   4.418E+10   2.066E+11   1.577E+07   1.792E+08
     3   474  3  -1    2.086622E+02   7.021E+12
     9   474  3  -1    2.058052E+02   6.904E+09
    13   474  3  -1    2.057778E+02   7.596E+09
    14   474  3  -1    2.057754E+02   1.685E+10
     1   475  3  -1    2.088169E+02   4.803E+12   9.111E+13   8.197E+14   8.452E+11   1.107E+11   1.596E+10   1.116E+11   6.306E+06
     2   475  3  -1    2.088110E+02   1.364E+12
     3   475  3  -1    2.087986E+02   6.832E+10
     5   475  3  -1    2.061866E+02   1.695E+10
    11   475  3  -1    2.059331E+02   1.036E+10
     2   476  3  -1    2.088114E+02   3.569E+12   9.111E+13   8.197E+14   8.447E+11   7.156E+10   5.555E+10   6.748E+10   4.364E+10
     3   476  3  -1    2.087991E+02   9.401E+11
     6   476  3  -1    2.061793E+02   1.798E+10
    10   476  3  -1    2.059373E+02   7.804E+09
     3   477  3  -1    2.087995E+02   4.308E+12   9.110E+13   8.197E+14   8.463E+11   6.605E+07   1.261E+11   1.208E+03   1.107E+11
     7   477  3  -1    2.061702E+02   2.003E+10
     9   477  3  -1    2.059425E+02   9.469E+09
     3   478  3  -1    2.089365E+02   8.476E+09   9.119E+13   8.437E+14   9.275E+11   3.150E+11   6.285E+11   5.953E+10   8.980E+10
     4   478  3  -1    2.084638E+02   5.228E+12
     8   478  3  -1    2.062746E+02   4.064E+10
    15   478  3  -1    2.056908E+02   3.389E+10
     1   479  3  -1    2.091619E+02   1.158E+12   9.144E+13   8.205E+14   4.374E+11   7.944E+10   6.817E+10   1.540E+07   3.915E+08
     2   479  3  -1    2.091559E+02   1.143E+12
     3   479  3  -1    2.091436E+02   1.098E+12
     4   479  3  -1    2.086709E+02   8.728E+09
     9   479  3  -1    2.062866E+02   9.844E+09
    10   479  3  -1    2.062819E+02   7.274E+09
     2   480  3  -1    2.092785E+02   2.682E+11   8.921E+13   8.365E+14   4.900E+10   9.964E+11   7.957E+10   2.265E+10   1.346E+10
     4   480  3  -1    2.087935E+02   1.286E+11
    10   480  3  -1    2.064044E+02   1.818E+10
    12   480  3  -1    2.063851E+02   2.097E+10
    16   480  3  -1    2.059566E+02   4.926E+09
     1   481  3  -1    2.092940E+02   6.764E+11   8.894E+13   8.350E+14   2.454E+09   5.401E+11   5.377E+11   2.138E+10   1.917E+10
     2   481  3  -1    2.092881E+02   1.564E+11
     3   481  3  -1    2.092758E+02   2.919E+11
     4   481  3  -1    2.088031E+02   7.025E+10
     9   481  3  -1    2.064187E+02   1.596E+10
    11   481  3  -1    2.064102E+02   3.067E+10
    12   481  3  -1    2.063947E+02   3.174E+10
    13   481  3  -1    2.063914E+02   3.594E+10
     2   482  3  -1    2.092982E+02   3.152E+11   8.882E+13   8.355E+14   3.537E+08   1.723E+11   9.214E+11   1.246E+10   2.851E+10
     3   482  3  -1    2.092859E+02   6.337E+11
     9   482  3  -1    2.064289E+02   1.207E+10
    10   482  3  -1    2.064242E+02   9.244E+09
    13   482  3  -1    2.064015E+02   2.447E+10
    14   482  3  -1    2.063991E+02   6.266E+10
     2   483  3  -1    2.093182E+02   2.408E+10   9.116E+13   8.487E+14   3.910E+11   7.385E+10   1.012E+12   1.814E+09   3.055E+09
     4   483  3  -1    2.088332E+02   9.706E+11
    10   483  3  -1    2.064441E+02   2.163E+09
    12   483  3  -1    2.064248E+02   2.539E+09
    16   483  3  -1    2.059963E+02   4.489E+10
     1   484  3  -1    2.093678E+02   1.117E+10   9.869E+13   8.114E+14   4.752E+08   1.056E+11   2.994E+11   1.530E+10   2.503E+10
     4   484  3  -1    2.088768E+02   1.019E+13
     8   484  3  -1    2.066877E+02   2.416E+10
    16   484  3  -1    2.060400E+02   1.889E+10
     1   485  3  -1    2.097762E+02   5.775E+11   8.851E+13   8.024E+14   1.434E+11   1.257E+10   4.256E+09   9.314E+11   3.328E+07
     2   485  3  -1    2.097703E+02   1.494E+11
     3   485  3  -1    2.097580E+02   6.421E+09
     5   485  3  -1    2.071459E+02   2.816E+10
    11   485  3  -1    2.068924E+02   3.161E+10
    12   485  3  -1    2.068769E+02   5.367E+10
    13   485  3  -1    2.068736E+02   9.744E+09
     2   486  3  -1    2.097712E+02   4.299E+11   8.851E+13   8.024E+14   1.429E+11   1.013E+10   7.111E+09   6.076E+11   3.241E+11
     3   486  3  -1    2.097589E+02   9.231E+10
     5   486  3  -1    2.071468E+02   6.202E+09
     6   486  3  -1    2.071391E+02   2.955E+10
    10   486  3  -1    2.068971E+02   3.361E+10
