SEQ='MG'     NUCCHG=13                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  52978290.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    51982.8 
     3          2S2 2P6 3P1         (2)1( 1.5)    52223.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   112940.4 
     5          2S2 2P6 3D1         (2)2( 2.5)   112953.4 

   IC RESOLVED LEVEL INDEXING           BWNR=  53126022.0 NLVL=   922
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   199   149    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   735710.9*
   200   150    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   735746.5*
   201   151    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   736549.5*
   202   152    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)   737031.7*
   203   153    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   737124.2*
   204   154    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   737362.0*
   205   155    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)   738178.8*
   206   156    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)   739478.8*
   207   660    2S2 2P5 3P2 3D1     (3)2( 1.0)   740268.9*
   208   157    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   740488.8*
   209   661    2S2 2P5 3P2 3D1     (3)2( 2.0)   740553.8*
   210   158    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   740654.3*
   211   159    2S2 2P5 3P3         (3)2( 3.0)   740799.3*
   212   662    2S2 2P5 3P2 3D1     (3)2( 3.0)   740933.3*
   213   160    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)   741166.3*
   214   161    2S2 2P5 3P3         (1)2( 2.0)   741570.5*
   215   664    2S2 2P5 3P2 3D1     (3)4( 4.0)   742477.5*
   216   665    2S2 2P5 3P2 3D1     (1)3( 3.0)   742551.0*
   217   666    2S2 2P5 3S1 3D2     (3)3( 4.0)   743250.7*
   218   162    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   743922.8*
