SEQ='MG'     NUCCHG=21                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 159388039.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   190259.4 
     3          2S2 2P6 3P1         (2)1( 1.5)   196766.7 
     4          2S2 2P6 3D1         (2)2( 1.5)   463272.1 
     5          2S2 2P6 3D1         (2)2( 2.5)   464451.2 

   IC RESOLVED LEVEL INDEXING           BWNR= 161190454.1 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   123    52    2S2 2P5 3P3         (3)2( 2.0)  3681065.0*
   124    53    2S2 2P5 3S1 3P1 3D1 (5)4( 2.0)  3682177.6*
   125    54    2S2 2P5 3P3         (3)1( 0.0)  3689173.5*
   126    55    2S2 2P5 3P3         (1)1( 1.0)  3690250.0*
   127    56    2S2 2P5 3P3         (3)1( 2.0)  3691943.0*
   128    57    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  3693929.2*
   129    58    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  3694876.8*
   130    59    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  3695043.5*
   131    60    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  3695581.5*
   132    61    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  3695584.8*
   133    62    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  3696848.1*
   134    63    2S2 2P5 3P3         (1)2( 2.0)  3699345.1*
   135    64    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  3699652.7*
   136    65    2S2 2P5 3P3         (3)1( 1.0)  3701071.6*
   137    66    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  3702514.9*
   138    67    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  3703158.1*
   139    68    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  3703936.5*
   140    69    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  3705468.2*
   141    70    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  3709378.5*
   142    71    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  3711419.7*
   143    72    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  3712196.3*
   144    73    2S2 2P5 3P3         (3)2( 1.0)  3712880.3*
   145    74    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  3715057.8*
   146    75    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  3715403.4*
   147    76    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  3715900.2*
   148    77    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3718637.9*
   149    78    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3718700.0*
   150    79    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  3720390.8*
   151    80    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3720503.6*
   152    81    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  3720743.8*
   153    82    2S2 2P5 3P3         (3)1( 0.0)  3721925.3*
   154    83    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  3723312.5*
   155    84    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3723832.0*
   156    85    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3723974.3*
   157    86    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  3724905.2*
   158    87    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  3727430.8*
   159    88    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  3727452.3*
   160    89    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  3728198.9*
   161    90    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3728701.2*
   162    91    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  3729069.3*
   163    92    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  3729821.7*
   164    93    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3731032.1*
   165    94    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  3733021.3*
   166    95    2S2 2P5 3P3         (3)1( 2.0)  3734689.3*
   167    96    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  3735363.5*
   168    97    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  3736273.8*
   169    98    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3736507.6*
   170    99    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3738025.1*
   171   100    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3738044.2*
   172   101    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  3740442.6*
   173   102    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3741484.5*
   174   103    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  3742981.0*
   175   104    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  3745071.2*
   176   105    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3746235.3*
   177   106    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3747402.6*
   178   107    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3749197.1*
   179   108    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  3750613.2*
   180   109    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  3754771.3*
   181   110    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  3756082.5*
   182   111    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  3757085.3*
   183   112    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  3757744.0*
   184   113    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  3758022.1*
   185   114    2S2 2P5 3P3         (3)1( 1.0)  3759895.3*
   186   115    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  3760855.6*
   187   116    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  3762096.6*
   188   117    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  3762287.7*
