SEQ='NE'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 329256543.4  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P5         (2)1( 1.5)        0.0 
     2          1S2 2S2 2P5         (2)1( 0.5)   206193.5 
     3          1S2 2S1 2P6         (2)0( 0.5)  1356236.2 
    24    24    1S2 2S2 2P5 3D1     (3)3( 2.0)  9516112.1 
    25    25    1S2 2S2 2P5 3D1     (3)2( 2.0)  9530607.2 
    26    26    1S2 2S2 2P5 3D1     (1)3( 3.0)  9537383.9 
    27    27    1S2 2S2 2P5 3D1     (1)1( 1.0)  9602310.9 
    28    28    1S1 2S2 2P6 3S1     (3)0( 1.0) 78556018.2*
    29    29    1S1 2S2 2P6 3S1     (1)0( 0.0) 78609782.2*
    30    30    1S1 2S2 2P6 3P1     (3)1( 0.0) 78873612.5*
    31    31    1S1 2S2 2P6 3P1     (3)1( 1.0) 78881336.3*
    32    32    1S1 2S2 2P6 3P1     (3)1( 2.0) 78923625.4*
    33    33    1S1 2S2 2P6 3P1     (1)1( 1.0) 78952409.0*
    34    34    1S1 2S2 2P6 3D1     (3)2( 1.0) 79417133.7*
    35    35    1S1 2S2 2P6 3D1     (3)2( 2.0) 79417461.8*
    36    36    1S1 2S2 2P6 3D1     (3)2( 3.0) 79429109.2*
    37    37    1S1 2S2 2P6 3D1     (1)2( 2.0) 79429637.6*
  
ZN21     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1           2           3           4           5           6
                                                                              7           8           9          10          11          12
                                                                             13          14          15          16          17          18
                                                                             19          20          21          22          23          24
                                                                             25          26          27          28          29          30
                                                                             31          32          33          34          35          36
                                                                             37          38          39          40          41          42
                                                                             43          44          45          46          47          48
                                                                             49          50          51          52          53          54
                                                                             55          56          57          58          59          60
                                                                             61          62          63          64          65          66
                                                                             67          68          69          70          71          72
                                                                             73          74          75          76          77          78
                                                                             79          80          81          82          83          84
                                                                             85          86          87          88          89          90
                                                                             91          92          93          94          95          96
                                                                             97          98          99         100         101         102
                                                                            103         104         105         106         107         108
                                                                            109         110         111         112         113         114
     2    28  3  -1    6.384212E+02   3.794E+14   1.135E+15   1.026E+15   6.085E+12   3.030E+12   1.478E+13   5.174E+13   4.366E+13   2.186E+13
                                                                          3.393E+12   1.496E+12   3.190E+14   2.002E+14   3.114E+11   1.114E+11
                                                                          3.432E+11   7.898E+10   6.025E+06   1.629E+10   4.371E+10   7.986E+10
                                                                          9.153E+10   4.438E+11   4.321E+13   9.162E+10   2.177E+11   3.481E+10
                                                                          5.457E+09   3.238E+07   4.064E+11   3.554E+10   1.824E+11   4.331E+10
