SEQ='MG'     NUCCHG=19                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 127272625.9  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   156241.8 
     3          2S2 2P6 3P1         (2)1( 1.5)   159921.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   377904.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   378493.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 128510439.4 NLVL=  1111
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   187   117    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2820541.5*
   188   118    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  2820839.7*
   189   119    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  2821545.7*
   190   120    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2821775.1*
   191   121    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2822356.3*
   192   122    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2824485.3*
   193   123    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  2825171.9*
   194   124    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2825511.4*
   195   125    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2827072.3*
   196   126    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2827479.1*
   197   127    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  2828271.3*
   198   128    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2833111.8*
   199   129    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  2834077.0*
   200   130    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2837701.5*
   201   131    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2837918.8*
   202   132    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2839202.3*
   203   133    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2842421.7*
   204   134    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2842429.8*
   205   135    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2845502.9*
   206   136    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2848070.9*
   207   137    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2848663.0*
   208   138    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2852886.7*
   209   139    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2853064.2*
   210   140    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  2861778.3*
   211   141    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  2866583.3*
   212   142    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2867181.1*
   213   143    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2869285.6*
   214   144    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2869852.4*
   215   145    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  2873077.9*
   216   146    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  2873658.3*
   217   147    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2873749.0*
   218   148    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2874626.9*
