SEQ='NE'     NUCCHG=12                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  43072608.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                          1.304E+07   1.719E+07   8.498E+08   1.311E+08   1.914E+10   4.441E+10
                                                                          4.718E+03   6.352E+08   2.611E+08   1.078E+06   0.000E+00   6.547E+01
                                                                          1.348E+09   5.001E+08   5.602E+08   1.068E+02   7.715E+05   3.055E+09
                                                                          1.536E+07   2.428E+09   1.003E+10   1.559E+08   8.186E+08   9.135E+10
                                                                          4.705E+10   0.000E+00   0.000E+00   4.285E+06   1.589E+11   8.530E+10
                                                                          3.004E+11   2.058E+11   8.925E+09   6.565E+00   6.842E+10   4.719E+10
                                                                          1.991E+13   1.328E+13   6.643E+12   4.629E+12   2.668E+12   1.392E+07
                                                                          3.904E+06   7.721E+08   3.442E+08   1.198E+06   2.592E+09   8.055E+07
                                                                          1.019E+05   3.377E+10   1.551E+10   1.155E+10   3.126E+08   2.243E+11
                                                                          9.862E+09   4.889E+10   1.216E+10   1.085E+03   1.064E+03   7.234E+07
                                                                          1.014E+12   7.186E+13   3.569E+13   8.291E+03   1.266E+08   1.468E+03
                                                                          4.414E+11   1.939E+08   4.519E+11   5.831E+11   9.457E+07   1.774E+12
                                                                          2.584E+12   2.710E+11   4.088E+11   1.334E+08   2.650E+08   5.542E+11
                                                                          1.605E+11   8.063E+10   2.134E+04   2.807E+04   5.030E+06   1.962E+05
                                                                          3.633E+13   1.040E+11   2.080E+11   1.460E+07   2.225E+07   0.000E+00
     3    28  3  -1    9.239924E+01   5.426E+12
     4    28  3  -1    9.238585E+01   5.904E+12
     5    28  3  -1    9.235054E+01   4.804E+11
    17    28  3  -1    9.146339E+01   6.773E+08
    18    28  3  -1    9.145784E+01   5.399E+08
     3    29  3  -1    9.245907E+01   4.858E+11   1.788E+13   6.450E+14   9.487E+12   4.745E+12   4.337E+12   2.940E+11   4.949E+10   3.932E+10
                                                                          2.932E+11   3.214E+10   2.257E+14   1.503E+14   9.442E+01   3.798E+08
                                                                          1.036E+08   1.241E+05   3.891E+04   2.154E+07   1.817E+07   7.936E+04
                                                                          1.165E+09   5.490E+09   1.495E+08   4.886E+10   1.078E+11   4.336E+13
                                                                          5.780E+07   7.717E+07   8.744E+07   6.085E+04   4.287E+09   1.344E+10
                                                                          0.000E+00   6.316E+08   2.578E+08   1.108E+06   0.000E+00   0.000E+00
                                                                          1.417E+09   4.993E+08   5.981E+08   0.000E+00   1.183E+06   3.268E+09
                                                                          1.969E+07   2.724E+09   1.075E+10   1.557E+08   8.874E+08   5.040E+10
                                                                          2.821E+10   0.000E+00   0.000E+00   4.547E+06   1.582E+11   8.492E+10
                                                                          3.032E+11   2.078E+11   9.030E+09   0.000E+00   6.922E+10   4.778E+10
                                                                          0.000E+00   1.558E+10   2.628E+09   2.706E+13   1.268E+13   7.607E+00
                                                                          0.000E+00   7.841E+08   3.483E+08   2.328E+05   2.670E+09   8.199E+07
                                                                          1.018E+04   3.494E+10   1.601E+10   1.190E+10   3.312E+08   2.385E+11
                                                                          6.762E+09   4.841E+10   8.663E+02   0.000E+00   2.293E+05   1.221E+05
                                                                          1.140E+12   7.976E+13   4.089E+13   7.003E+06   4.718E+06   1.193E+06
                                                                          4.605E+11   4.611E+05   4.565E+11   5.360E+11   8.149E+05   1.572E+12
                                                                          2.165E+12   2.644E+11   3.989E+11   1.350E+08   2.575E+08   5.368E+11
                                                                          1.984E+11   1.005E+11   1.174E+07   1.538E+07   2.516E+06   1.393E+03
                                                                          3.621E+13   1.115E+11   2.212E+11   1.539E+07   2.348E+07   0.000E+00
     5    29  3  -1    9.241037E+01   5.468E+12
    23    29  3  -1    9.149455E+01   1.898E+09
    27    29  3  -1    9.146918E+01   2.307E+09
     6    30  3  -1    9.246822E+01   9.434E+11   1.772E+13   6.339E+14   6.424E+12   5.555E+11   1.941E+12   1.172E+04   3.329E+10   5.154E+09
                                                                          7.194E+08   6.282E+09   9.051E+06   1.352E+11   4.709E+10   1.991E+11
                                                                          8.419E+09   0.000E+00   1.300E+11   2.075E+10   3.369E+10   6.254E+09
                                                                          2.204E+10   2.778E+10   1.251E+11   7.393E+11   2.983E+13   4.240E+10
