SEQ='MG'     NUCCHG=29                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 325119064.1  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   325693.6 
     3          2S2 2P6 3P1         (2)1( 1.5)   360557.4 
     4          2S2 2P6 3D1         (2)2( 1.5)   813451.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   821532.7 

   IC RESOLVED LEVEL INDEXING           BWNR= 330181359.8 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   117    45    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  8598300.1*
   118    47    2S2 2P5 3P3         (3)0( 1.0)  8603179.9*
   119    48    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  8609565.4*
   120    49    2S2 2P5 3P3         (3)2( 3.0)  8611048.7*
   121    50    2S2 2P5 3P3         (3)2( 2.0)  8617267.5*
   122    51    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  8619400.0*
   123    52    2S2 2P5 3P3         (3)1( 0.0)  8627462.3*
   124    53    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  8627867.9*
   125    54    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  8630065.7*
   126    55    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  8630561.8*
   127    56    2S2 2P5 3P3         (1)1( 1.0)  8630941.8*
   128   659    2S2 2P5 3S2 3D1     (1)1( 1.0)  8631277.9*
   129    57    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  8634813.7*
   130    58    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  8638265.7*
   131    59    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  8641559.2*
   132    60    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  8642556.6*
   133    61    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  8643039.2*
   134    62    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  8647467.3*
   135    63    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  8649576.0*
   136    64    2S2 2P5 3P3         (3)1( 2.0)  8651041.3*
   137    65    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  8654358.2*
   138    66    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  8658748.7*
   139    67    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8662949.3*
   140    68    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  8663916.8*
   141    69    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  8668455.8*
   142    70    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  8673266.0*
   143    71    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  8675146.2*
   144    72    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  8676295.0*
   145    73    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  8677165.6*
   146    74    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  8678627.8*
   147    75    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  8679167.6*
   148    76    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  8681139.7*
   149    77    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  8685447.6*
   150    78    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  8685848.4*
   151    79    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  8686244.5*
   152    80    2S2 2P5 3P3         (3)3( 2.0)  8688039.1*
   153    81    2S2 2P5 3P3         (3)3( 3.0)  8690988.7*
   154    82    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  8691078.1*
   155    83    2S2 2P5 3P3         (5)1( 1.0)  8694067.7*
   156    84    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  8695388.0*
