SEQ='MG'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 112598657.3  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   139159.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   141824.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   334980.8 
     5          2S2 2P6 3D1         (2)2( 2.5)   335372.8 

   IC RESOLVED LEVEL INDEXING           BWNR= 113591701.4 NLVL=  1113
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   139    69    2S2 2P5 3S1 3P1 3D1 (5)0( 2.0)  2355035.5*
   140    70    2S2 2P5 3P3         (1)1( 1.0)  2355806.5*
   141    71    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  2358428.8*
   142    72    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  2358695.6*
   143    73    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  2360356.4*
   144    74    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  2360799.2*
   145    75    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2361349.8*
   146    76    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  2361798.3*
   147    77    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  2362396.4*
   148    78    2S2 2P5 3S1 3P1 3D1 (5)3( 5.0)  2362803.4*
   149    79    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  2363171.0*
   150    80    2S2 2P5 3S1 3P1 3D1 (5)3( 4.0)  2363957.2*
   151    81    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2366055.5*
   152    82    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2366086.3*
   153    83    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2366119.9*
   154    84    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  2367472.6*
   155    85    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2367785.0*
   156    86    2S2 2P5 3P3         (3)1( 1.0)  2368041.1*
   157    87    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  2368298.1*
   158    88    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  2369498.5*
   159    89    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2370202.5*
   160    90    2S2 2P5 3S1 3P1 3D1 (5)2( 3.0)  2370656.2*
   161    91    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2370665.2*
   162    92    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  2372314.8*
   163    93    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  2373267.3*
   164    94    2S2 2P5 3P3         (1)2( 2.0)  2374209.3*
   165    95    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  2375159.2*
   166    96    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  2375462.3*
   167    97    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2376509.2*
   168    98    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  2377335.8*
   169    99    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2378556.6*
   170   100    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2379349.6*
   171   101    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2380887.8*
   172   102    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  2381429.4*
   173   103    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2382659.5*
   174   104    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2383391.2*
   175   105    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2384367.5*
   176   106    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2385880.5*
   177   107    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2387725.4*
   178   108    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  2387949.4*
   179   109    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2389529.8*
   180   110    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2389908.6*
   181   111    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  2390109.7*
   182   112    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  2390160.3*
   183   113    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  2391797.5*
   184   114    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2391977.0*
   185   115    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  2392508.1*
   186   116    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2393781.3*
   187   117    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  2395730.7*
   188   118    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  2396555.8*
   189   119    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  2397338.4*
   190   120    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  2397551.7*
   191   121    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  2398258.0*
   192   122    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  2398390.1*
   193   123    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  2399286.4*
   194   124    2S2 2P5 3P3         (1)0( 0.0)  2400164.5*
   195   125    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  2400829.3*
   196   126    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  2401004.1*
