SEQ='NE'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  83052192.2  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                             79          80          81          82          83          84
                                                                             85          86          87          88          89          90
                                                                             91          92          93          94          95          96
                                                                             97          98          99         100         101         102
                                                                            103         104         105         106         107         108
                                                                            109         110         111         112         113         114
     2    28  3  -1    1.701891E+02   2.228E+13   6.682E+13   7.455E+14   2.404E+12   1.200E+12   8.275E+12   2.097E+12   5.998E+11   3.075E+11
                                                                          2.122E+12   3.009E+11   2.663E+14   1.762E+14   2.110E+11   1.527E+11
                                                                          7.649E+10   4.129E+05   7.566E+09   4.241E+09   5.012E+13   7.902E+08
                                                                          3.582E+09   2.478E+11   2.952E+11   1.154E+11   2.703E+11   1.071E+11
                                                                          4.075E+07   4.094E+07   8.711E+09   1.250E+09   1.600E+10   3.855E+10
                                                                          1.929E+11   5.064E+04   3.363E+09   1.553E+09   9.861E+10   8.086E+06
                                                                          0.000E+00   1.192E+03   2.219E+09   2.597E+09   3.882E+08   5.858E+08
                                                                          1.945E+03   1.249E+09   9.882E+07   8.015E+08   1.452E+08   8.312E+09
                                                                          5.877E+05   5.762E-01   0.000E+00   2.334E+11   4.057E+10   3.056E+02
                                                                          1.123E+09   4.116E+11   5.553E+09   2.757E+11   8.654E+10   7.307E+10
                                                                          2.063E+13   1.386E+13   6.916E+12   4.728E+12   3.608E+12   5.179E+07
                                                                          9.549E+06   5.563E+09   2.636E+09   6.458E+06   1.978E+10   4.973E+07
                                                                          2.711E+10   2.161E+07   1.477E+10   5.922E+09   2.923E+10   5.034E+11
                                                                          9.220E+13   4.487E+13   4.295E+09   9.788E+09   9.237E+09   2.863E+04
                                                                          2.523E+04   1.415E+08   5.395E+08   1.064E+05   3.746E+08   4.661E+09
                                                                          5.939E+09   1.427E+05   4.510E+06   8.800E+09   7.211E+07   4.308E+11
                                                                          6.579E+11   8.860E+10   1.957E+11   1.693E+09   2.499E+09   8.651E+11
                                                                          1.600E+05   1.981E+05   2.620E+11   1.327E+11   2.622E+08   1.321E+06
                                                                          4.206E+13   1.605E+11   3.201E+11   4.982E+07   7.804E+07   0.000E+00
     3    28  3  -1    1.701428E+02   1.751E+13
     4    28  3  -1    1.700792E+02   2.224E+13
     5    28  3  -1    1.700165E+02   4.748E+12
    17    28  3  -1    1.678316E+02   2.748E+09
    18    28  3  -1    1.678069E+02   2.177E+09
     3    29  3  -1    1.702956E+02   4.845E+12   6.798E+13   7.753E+14   1.901E+13   9.514E+12   6.605E+12   2.097E+12   5.997E+11   3.072E+11
                                                                          2.121E+12   3.006E+11   2.662E+14   1.762E+14   4.254E-01   4.767E+09
                                                                          1.866E+09   1.234E+02   7.748E+01   6.914E+07   5.005E+13   4.927E+05
                                                                          7.360E+01   6.705E+10   8.104E+10   2.956E+10   7.680E+10   2.810E+10
                                                                          1.328E+04   1.850E+04   1.082E+09   9.379E+01   2.412E+08   8.180E+09
                                                                          7.927E+10   0.000E+00   3.355E+09   1.542E+09   4.412E+10   8.445E+06
                                                                          0.000E+00   0.000E+00   2.292E+09   2.687E+09   4.173E+08   5.932E+08
                                                                          0.000E+00   1.335E+09   1.266E+08   8.323E+08   8.104E+07   9.191E+09
                                                                          9.898E+05   0.000E+00   0.000E+00   2.413E+11   4.101E+10   0.000E+00
