SEQ='NA'     NUCCHG=25                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 231254972.0  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 234755856.1 NLVL=   196
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     2    23  3  -1    4.867705E+01   4.326E+10   5.347E+11   1.744E+13   1.744E+13
     3    23  3  -1    4.851012E+01   2.363E+11
     2    24  3  -1    4.878480E+01   1.145E+11   3.356E+11   2.478E+11   2.478E+11
     3    24  3  -1    4.861787E+01   2.600E+11
     1    25  3  -1    5.170522E+01   2.441E+10   3.839E+10   3.754E+12   3.754E+12
     4    25  3  -1    4.591930E+01   5.324E+09
     5    25  3  -1    4.588463E+01   7.900E+09
     1    26  3  -1    5.171820E+01   7.820E+10   1.241E+11   1.166E+13   1.166E+13
     4    26  3  -1    4.593228E+01   2.028E+10
     4    27  3  -1    4.597696E+01   5.782E+08   1.418E+10   7.198E+09   7.198E+09
     5    27  3  -1    4.594229E+01   2.859E+08
     5    28  3  -1    4.604149E+01   4.278E+10   3.556E+10   7.563E+11   7.563E+11
     2    29  3  -1    4.953003E+01   3.940E+11   6.714E+11   3.912E+14   3.912E+14
     3    29  3  -1    4.936310E+01   1.258E+11
     1    30  3  -1    5.188076E+01   7.703E+10   7.202E+10   7.147E+12   7.147E+12
     4    30  3  -1    4.609484E+01   9.450E+09
     5    30  3  -1    4.606017E+01   1.022E+10
     1    31  3  -1    5.201164E+01   2.776E+10   5.755E+10   6.985E+12   6.985E+12
     4    31  3  -1    4.622571E+01   8.921E+09
     4    32  3  -1    4.624808E+01   1.777E+10   2.646E+10   1.450E+11   1.450E+11
     5    32  3  -1    4.621340E+01   5.878E+09
     1    33  3  -1    5.203510E+01   1.656E+09   1.617E+10   1.408E+11   1.408E+11
     4    33  3  -1    4.624917E+01   4.970E+08
     5    33  3  -1    4.621450E+01   1.535E+08
     5    34  3  -1    4.624266E+01   9.871E+09   2.209E+10   9.209E+10   9.209E+10
     4    35  3  -1    4.629553E+01   1.605E+10   2.230E+10   1.271E+11   1.271E+11
     5    35  3  -1    4.626086E+01   2.915E+09
     1    36  3  -1    5.249505E+01   4.059E+10   8.815E+10   2.319E+13   2.319E+13
     4    36  3  -1    4.670912E+01   1.622E+10
     1    37  3  -1    5.253510E+01   6.818E+10   7.476E+10   1.070E+13   1.070E+13
     4    37  3  -1    4.674918E+01   2.204E+10
     5    37  3  -1    4.671450E+01   3.702E+09
     1    38  3  -1    5.264540E+01   2.568E+10   4.415E+10   6.923E+10   6.923E+10
     4    38  3  -1    4.685948E+01   8.362E+08
     1    39  3  -1    5.270981E+01   1.298E+11   1.086E+11   6.934E+12   6.934E+12
     4    39  3  -1    4.692389E+01   3.073E+09
     5    39  3  -1    4.688922E+01   1.802E+10
     1    40  3  -1    5.271409E+01   5.256E+10   4.842E+10   4.711E+12   4.711E+12
     4    40  3  -1    4.692817E+01   4.095E+09
     5    40  3  -1    4.689350E+01   1.950E+09
     4    41  3  -1    4.695827E+01   2.246E+10   2.799E+10   4.516E+11   4.516E+11
     5    41  3  -1    4.692360E+01   9.291E+09
     1    42  3  -1    5.277914E+01   3.957E+09   2.018E+10   5.082E+11   5.082E+11
     4    44  3  -1    4.704273E+01   3.344E+09   5.169E+10   3.178E+08   3.178E+08
     5    44  3  -1    4.700806E+01   3.206E+10
     1    45  3  -1    5.285398E+01   8.722E+10   6.334E+10   9.634E+12   9.634E+12
     4    45  3  -1    4.706806E+01   2.188E+08
     5    45  3  -1    4.703339E+01   1.721E+09
     5    46  3  -1    4.705983E+01   8.688E+10   8.388E+10   3.009E+11   3.009E+11
     4    47  3  -1    4.716559E+01   2.738E+11   2.201E+11   5.058E+11   5.058E+11
     5    47  3  -1    4.713092E+01   1.850E+10
     1    48  3  -1    5.296598E+01   3.710E+10   4.966E+10   1.052E+11   1.052E+11
     4    48  3  -1    4.718006E+01   2.847E+09
     5    48  3  -1    4.714538E+01   1.096E+10
     4    49  3  -1    4.720143E+01   1.138E+09   2.414E+10   1.319E+10   1.319E+10
     5    49  3  -1    4.716676E+01   9.269E+09
     1    50  3  -1    5.305265E+01   1.387E+11   3.644E+11   2.011E+09   2.011E+09
     4    50  3  -1    4.726673E+01   2.586E+11
     5    50  3  -1    4.723206E+01   1.138E+10
     5    51  3  -1    4.727359E+01   2.524E+11   2.083E+11   7.051E+11   7.051E+11
     1    52  3  -1    5.311340E+01   2.582E+11   6.571E+11   1.672E+13   1.672E+13
     4    52  3  -1    4.732748E+01   1.901E+11
     4    53  3  -1    4.733746E+01   2.876E+11   4.743E+11   8.931E+11   8.931E+11
     5    53  3  -1    4.730279E+01   2.633E+11
     1    54  3  -1    5.328674E+01   4.245E+12   2.605E+12   3.286E+12   3.286E+12
     4    54  3  -1    4.750082E+01   2.125E+08
     5    54  3  -1    4.746615E+01   3.090E+11
     1    55  3  -1    5.335700E+01   3.126E+12   3.147E+12   5.403E+13   5.403E+13
     4    55  3  -1    4.757107E+01   1.359E+08
     1    56  3  -1    5.361876E+01   2.669E+12   1.561E+12   7.120E+13   7.120E+13
     4    56  3  -1    4.783284E+01   1.422E+11
     5    56  3  -1    4.779817E+01   4.070E+10
     5    57  3  -1    4.786718E+01   1.370E+11   1.364E+11   6.132E+12   6.132E+12
     1    58  3  -1    5.375591E+01   3.604E+11   5.341E+11   1.009E+13   1.009E+13
     4    58  3  -1    4.796999E+01   3.188E+11
     5    58  3  -1    4.793532E+01   9.830E+09
     1    59  3  -1    5.376264E+01   1.472E+10   1.987E+11   3.176E+13   3.176E+13
     4    59  3  -1    4.797672E+01   8.242E+10
     4    60  3  -1    4.798753E+01   1.460E+11   1.438E+11   2.541E+11   2.541E+11
     5    60  3  -1    4.795286E+01   2.770E+10
     4    61  3  -1    4.800554E+01   3.512E+09   3.640E+10   1.503E+12   1.503E+12
     5    61  3  -1    4.797086E+01   5.238E+09
     5    62  3  -1    4.805528E+01   5.402E+11   4.233E+11   5.012E+11   5.012E+11
     4    63  3  -1    4.810971E+01   4.171E+11   8.596E+11   6.365E+11   6.365E+11
     5    63  3  -1    4.807503E+01   5.548E+11
     1    64  3  -1    5.403997E+01   3.764E+11   4.486E+11   3.557E+14   3.557E+14
     4    64  3  -1    4.825404E+01   1.198E+10
     1    65  3  -1    5.414958E+01   1.151E+12   8.493E+11   2.949E+14   2.949E+14
     4    65  3  -1    4.836365E+01   1.991E+11
     5    65  3  -1    4.832898E+01   2.097E+10
     1    66  3  -1    5.419099E+01   2.196E+13   1.133E+13   1.175E+13   1.175E+13
     4    66  3  -1    4.840506E+01   3.998E+08
     5    66  3  -1    4.837039E+01   2.166E+11
     1    67  3  -1    5.441258E+01   1.774E+13   1.807E+13   7.951E+12   7.951E+12
     4    67  3  -1    4.862666E+01   1.594E+11
     4    68  3  -1    4.879664E+01   6.589E+10   3.062E+11   4.132E+12   4.132E+12
     5    68  3  -1    4.876197E+01   2.272E+11
     2    69  3  -1    5.226345E+01   7.395E+08   4.477E+09   1.315E+08   1.315E+08
     3    69  3  -1    5.209652E+01   2.112E+08
     2    70  3  -1    5.232766E+01   3.919E+10   2.807E+10   4.812E+10   4.812E+10
     3    70  3  -1    5.216072E+01   4.857E+09
     3    71  3  -1    5.226154E+01   4.845E+10   3.675E+10   6.451E+10   6.451E+10
     1    72  3  -1    5.482829E+01   1.247E+13   6.463E+12   7.116E+13   7.116E+13
     4    72  3  -1    4.904237E+01   1.887E+11
     3    76  3  -1    5.247520E+01   9.704E+10   7.516E+10   7.934E+11   7.934E+11
     2    78  3  -1    5.268327E+01   3.282E+11   1.974E+11   6.484E+11   6.484E+11
     3    78  3  -1    5.251634E+01   1.997E+10
     3    79  3  -1    5.259277E+01   9.478E+09   1.215E+10   1.360E+11   1.360E+11
     2    81  3  -1    5.280646E+01   2.225E+11   2.769E+11   1.778E+10   1.778E+10
