SEQ='NA'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  85304453.4  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  86007309.9 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1    43  3  -1    1.427564E+01   6.528E+08   8.056E+09   1.159E+10   1.159E+10
     4    43  3  -1    1.201653E+01   2.958E+07
     1    44  3  -1    1.428791E+01   3.584E+09   9.389E+09   3.146E+10   3.146E+10
     4    44  3  -1    1.202879E+01   2.024E+08
     5    44  3  -1    1.202727E+01   5.236E+07
     4    45  3  -1    1.205159E+01   9.727E+07   8.179E+09   2.394E+06   2.394E+06
     5    45  3  -1    1.205007E+01   8.370E+08
     1    47  3  -1    1.432880E+01   3.011E+10   1.972E+10   1.872E+12   1.872E+12
     4    47  3  -1    1.206968E+01   5.799E+07
     5    47  3  -1    1.206816E+01   4.034E+08
     5    48  3  -1    1.208162E+01   2.065E+09   8.982E+09   1.313E+09   1.313E+09
     4    49  3  -1    1.210315E+01   4.873E+09   1.118E+10   1.407E+09   1.407E+09
     5    49  3  -1    1.210163E+01   4.488E+08
     1    50  3  -1    1.438479E+01   2.121E+09   1.276E+10   7.408E+09   7.408E+09
     4    50  3  -1    1.212567E+01   4.019E+09
     5    50  3  -1    1.212415E+01   8.936E+07
     1    51  3  -1    1.438756E+01   1.207E+10   2.258E+10   2.114E+13   2.114E+13
     4    51  3  -1    1.212845E+01   2.957E+09
     5    52  3  -1    1.214909E+01   9.508E+09   1.475E+10   7.356E+09   7.356E+09
     4    53  3  -1    1.216872E+01   1.535E+10   2.438E+10   7.508E+09   7.508E+09
     5    53  3  -1    1.216721E+01   6.619E+09
     1    54  3  -1    1.443727E+01   5.750E+10   6.871E+10   1.432E+12   1.432E+12
     4    54  3  -1    1.217815E+01   1.825E+09
     1    55  3  -1    1.444863E+01   8.759E+10   5.690E+10   2.011E+10   2.011E+10
     4    55  3  -1    1.218951E+01   1.541E+07
     5    55  3  -1    1.218799E+01   3.733E+09
     4    56  3  -1    1.222914E+01   1.835E+10   2.287E+10   1.230E+10   1.230E+10
     5    56  3  -1    1.222762E+01   3.203E+09
     1    57  3  -1    1.451439E+01   6.656E+10   7.516E+10   9.505E+11   9.505E+11
     4    57  3  -1    1.225528E+01   1.694E+10
     5    57  3  -1    1.225376E+01   1.176E+10
     5    58  3  -1    1.225579E+01   3.130E+10   3.074E+10   5.475E+10   5.475E+10
     4    59  3  -1    1.227779E+01   1.078E+10   4.116E+10   7.474E+09   7.474E+09
     5    59  3  -1    1.227627E+01   2.636E+10
     1    60  3  -1    1.455946E+01   1.557E+11   1.304E+11   3.449E+13   3.449E+13
     4    60  3  -1    1.230034E+01   1.964E+10
     5    60  3  -1    1.229882E+01   1.813E+10
     1    61  3  -1    1.456993E+01   9.862E+10   1.461E+11   3.108E+13   3.108E+13
     4    61  3  -1    1.231081E+01   2.109E+10
     1    62  3  -1    1.464944E+01   9.427E+11   4.820E+11   1.635E+14   1.635E+14
     4    62  3  -1    1.239032E+01   3.409E+08
     5    62  3  -1    1.238881E+01   5.909E+08
     1    63  3  -1    1.465837E+01   4.697E+11   4.819E+11   1.456E+14   1.456E+14
     4    63  3  -1    1.239925E+01   1.442E+09
     5    64  3  -1    1.251855E+01   1.361E+10   2.321E+10   8.642E+12   8.642E+12
     4    65  3  -1    1.256300E+01   1.505E+10   3.194E+10   4.709E+12   4.709E+12
     5    65  3  -1    1.256148E+01   8.510E+09
     1    66  3  -1    1.488730E+01   1.391E+10   4.540E+10   3.142E+13   3.142E+13
