SEQ='MG'     NUCCHG=30                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 350076065.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   342599.2 
     3          2S2 2P6 3P1         (2)1( 1.5)   383777.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   859545.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   869257.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 355659006.2 NLVL=  1125
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   214   142    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  9621943.0*
   215   143    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  9624978.0*
   216   144    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  9629310.0*
   217   145    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9631148.5*
   218   146    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  9631541.0*
   219   147    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  9632883.9*
   220   148    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  9633741.2*
   221   149    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  9645932.8*
   222   150    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9646106.6*
   223   151    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  9646575.9*
   224   152    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9650517.6*
   225   153    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  9651956.8*
   226   154    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  9658367.2*
   227   155    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  9669051.3*
   228   156    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  9669556.8*
   229   157    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  9684748.2*
   230   158    2S2 2P5 3P3         (1)0( 0.0)  9686782.6*
   231   159    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  9689408.5*
   232   160    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  9695310.7*
   233   660    2S2 2P5 3P2 3D1     (5)2( 0.0)  9699162.4*
   234   161    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  9700541.0*
   235   162    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  9701724.9*
   236   163    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  9704002.3*
   237   661    2S2 2P5 3P2 3D1     (5)2( 1.0)  9707060.4*
   238   164    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9712210.5*
   239   662    2S2 2P5 3P2 3D1     (3)2( 1.0)  9715364.4*
   240   663    2S2 2P5 3P2 3D1     (5)2( 2.0)  9719342.1*
   241   664    2S2 2P5 3P2 3D1     (3)2( 2.0)  9721850.9*
   242   665    2S2 2P5 3P2 3D1     (3)2( 3.0)  9729166.2*
   243   666    2S2 2P5 3P2 3D1     (5)3( 3.0)  9730545.7*
   244   165    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  9734035.5*
   245   667    2S2 2P5 3P2 3D1     (5)3( 4.0)  9734604.9*
   246   166    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  9734920.5*
   247   668    2S2 2P5 3P2 3D1     (5)1( 1.0)  9737736.8*
   248   669    2S2 2P5 3P2 3D1     (5)3( 5.0)  9740967.9*
   249   670    2S2 2P5 3P2 3D1     (5)2( 3.0)  9742330.4*
   250   167    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  9742630.8*
   251   671    2S2 2P5 3P2 3D1     (3)4( 4.0)  9744124.7*
   252   672    2S2 2P5 3P2 3D1     (3)3( 2.0)  9744294.7*
   253   673    2S2 2P5 3P2 3D1     (3)4( 5.0)  9750844.6*
