SEQ='NE'     NUCCHG=11                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  35150581.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                          1.988E+10   8.069E+09   4.309E+09   1.216E+08   7.208E+08   3.683E+10
                                                                          2.087E+10   0.000E+00   0.000E+00   4.021E+06   1.224E+09   2.739E+11
                                                                          2.519E+11   1.688E+11   7.701E+08   0.000E+00   5.788E+10   3.919E+10
                                                                          0.000E+00   1.410E+10   2.482E+09   2.736E+13   1.309E+13   1.055E+01
                                                                          0.000E+00   4.077E+08   1.809E+08   1.236E+05   1.289E+09   5.273E+07
                                                                          4.879E+05   2.877E+10   1.382E+10   7.830E+09   1.299E+08   1.670E+11
                                                                          1.904E+08   1.053E+09   9.047E+02   0.000E+00   2.231E+05   1.089E+05
                                                                          9.837E+08   2.918E+06   2.021E+06   2.946E+05   3.889E+10   4.607E+10
                                                                          1.387E+04   5.583E+10   3.717E+05   1.003E+11   2.188E+11   7.952E+13
                                                                          4.039E+13   2.051E+11   3.090E+11   5.733E+07   1.155E+08   4.115E+11
                                                                          1.455E+11   7.355E+10   4.713E+06   6.203E+06   3.936E+05   2.356E+02
                                                                          3.511E+13   8.795E+10   1.748E+11   6.593E+06   1.002E+07   0.000E+00
     5    29  3  -1    7.683570E+01   3.667E+12
    22    29  3  -1    7.628914E+01   6.560E+08
    26    29  3  -1    7.627102E+01   3.008E+08
     6    30  3  -1    7.687499E+01   6.469E+11   1.195E+13   6.088E+14   3.705E+12   3.191E+11   1.089E+12   3.578E+03   2.770E+10   4.029E+09
                                                                          9.016E+08   4.813E+09   4.796E+06   1.029E+11   2.726E+10   1.036E+11
                                                                          4.460E+09   0.000E+00   6.726E+10   1.253E+10   1.839E+10   5.981E+08
                                                                          1.052E+09   1.651E+09   3.222E+10   5.972E+11   2.530E+13   4.979E+10
                                                                          1.744E+14   0.000E+00   6.831E+13   4.420E+13   1.197E+02   1.978E+01
                                                                          2.422E+10   1.607E+10   0.000E+00   4.341E+02   5.175E+02   7.376E+08
                                                                          1.056E+08   2.566E+02   1.772E+09   3.684E+01   7.829E+09   1.454E+00
                                                                          4.708E+13   8.438E+12   1.527E+02   2.693E+09   4.958E+06   5.644E+12
                                                                          3.537E+13   8.222E+05   0.000E+00   1.715E+10   3.736E+10   9.271E+08
                                                                          6.307E+03   3.708E+10   1.244E+05   8.851E+04   2.204E+03   9.059E+09
                                                                          1.612E+06   8.387E+08   2.661E+07   5.579E+11   8.934E+10   5.465E+12
                                                                          3.199E+00   3.848E+00   1.515E+13   1.128E+13   2.138E+01   7.523E+12
                                                                          1.281E+12   4.788E+02   2.143E+12   4.862E+11   1.907E+12   1.029E+11
                                                                          3.508E+06   2.234E+06   3.477E+05   0.000E+00   0.000E+00   3.743E+05
                                                                          4.808E+06   0.000E+00   1.052E+08   0.000E+00   2.161E+08   1.924E+08
                                                                          8.862E+06   1.618E+08   5.592E+05   3.853E+08   1.105E+09   6.731E+10
                                                                          1.168E+11   6.330E+13   8.122E+03   2.473E+13   1.096E+13   1.354E+13
                                                                          3.756E+09   2.483E+11   1.147E+11   0.000E+00   1.249E+10   8.062E+09
                                                                          4.437E+10   3.453E+13   1.650E+09   7.660E+10   2.342E-02   0.000E+00
     9    30  3  -1    7.683776E+01   2.663E+12
    11    30  3  -1    7.682172E+01   3.007E+10
    14    30  3  -1    7.681450E+01   6.446E+11
     1    31  3  -1    7.883939E+01   1.787E+09   1.195E+13   6.088E+14   3.235E+12   7.879E+11   1.088E+12   1.151E+10   8.906E+09   1.228E+10
                                                                          3.554E+09   3.210E+09   2.929E+10   7.216E+10   3.117E+10   7.850E+10
                                                                          7.365E+09   3.994E+10   4.817E+10   1.121E+10   1.415E+10   1.021E+11
                                                                          4.513E+10   1.065E+11   2.980E+10   3.884E+12   2.084E+13   4.894E+10
                                                                          1.279E+14   4.443E+13   5.928E+13   5.726E+13   9.690E+01   2.104E+10
                                                                          9.749E+09   4.444E+09   4.847E+01   7.453E+02   2.119E+07   3.903E+09
                                                                          3.314E+09   3.147E+01   2.169E+09   7.757E+08   1.887E+09   1.182E+09
                                                                          4.126E+13   1.245E+13   1.511E+09   1.167E+09   1.386E+09   1.615E+13
                                                                          2.563E+13   5.925E+05   2.277E+05   2.651E+10   2.770E+10   1.303E+09
                                                                          9.741E+09   2.839E+10   5.986E+06   1.048E+05   2.417E+09   6.866E+09
                                                                          7.015E+06   7.649E+08   8.875E+07   4.993E+11   1.477E+11   4.891E+12
                                                                          2.241E+00   1.439E+13   6.999E+12   2.781E+12   2.478E+12   3.460E+12
                                                                          5.344E+12   1.091E+12   2.531E+12   5.637E+11   6.746E+11   1.057E+11
                                                                          7.388E+05   4.850E+06   1.643E+05   0.000E+00   5.681E-01   1.624E+05
                                                                          7.060E+06   3.691E+07   7.104E+07   7.437E+06   2.072E+08   2.110E+08
                                                                          6.646E+06   1.952E+08   8.926E+06   4.124E+08   1.072E+09   9.349E+10
                                                                          9.092E+10   4.583E+13   1.701E+13   1.888E+13   1.746E+13   1.338E+13
                                                                          7.880E+10   1.731E+11   8.462E+10   2.995E+10   1.057E+10   1.007E+10
                                                                          4.453E+10   2.399E+13   1.054E+13   5.561E+10   2.109E+10   0.000E+00
     6    31  3  -1    7.687531E+01   1.563E+12
     8    31  3  -1    7.684423E+01   3.336E+12
     9    31  3  -1    7.683808E+01   6.696E+11
    10    31  3  -1    7.682903E+01   6.612E+11
    11    31  3  -1    7.682204E+01   1.353E+12
    12    31  3  -1    7.681684E+01   3.938E+12
    13    31  3  -1    7.681645E+01   2.459E+09
    14    31  3  -1    7.681482E+01   3.855E+11
    27    31  3  -1    7.651810E+01   1.203E+10
     6    32  3  -1    7.687599E+01   1.683E+12   1.195E+13   6.088E+14   2.171E+12   1.851E+12   1.088E+12   2.300E+10   9.082E+09   1.965E+09
                                                                          7.404E+09   1.982E+09   8.918E+10   9.495E+09   4.007E+10   2.127E+10
                                                                          1.402E+10   1.310E+11   4.481E+09   8.262E+09   4.470E+09   3.334E+11
                                                                          1.455E+11   3.451E+11   2.428E+10   1.137E+13   1.068E+13   4.743E+10
                                                                          2.200E+13   1.456E+14   3.871E+13   8.702E+13   2.386E+10   5.212E+09
                                                                          1.292E+09   1.986E+08   8.462E+02   2.339E+08   1.807E+09   5.019E+08
                                                                          7.783E+08   8.217E+08   2.146E+09   2.790E+09   6.620E+08   4.934E+09
                                                                          2.801E+13   2.159E+13   3.651E+09   2.707E+08   1.807E+09   4.008E+13
                                                                          3.443E+12   1.354E+05   6.830E+05   4.487E+10   8.350E+09   2.263E+09
                                                                          3.589E+10   3.930E+09   8.025E+07   1.764E+07   8.703E+09   9.451E+08
                                                                          1.463E+07   6.344E+08   1.844E+08   3.660E+11   2.806E+11   4.037E+12
                                                                          1.614E+13   3.457E+12   8.228E+11   1.030E+11   1.025E+13   4.429E+12
                                                                          5.647E+11   2.845E+12   6.394E+10   2.062E+12   4.043E+11   5.109E+10
                                                                          3.976E+05   4.955E+06   3.761E+05   1.751E+05   5.145E+05   2.599E+04
                                                                          4.177E+06   1.158E+08   1.939E+05   2.539E+07   1.955E+08   2.569E+08
                                                                          2.368E+05   2.784E+08   2.798E+07   4.634E+08   9.948E+08   1.531E+11
                                                                          3.202E+10   5.519E+12   5.616E+13   6.292E+12   3.160E+13   1.308E+13
