SEQ='NA'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  62720095.9  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  63076909.1 NLVL=   181
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   148   179    1S2 2S2 2P5 3D2     (2)1( 0.5)  1188005.2*
   149   180    1S2 2S1 2P6 3S2     (2)0( 0.5)  1227923.0*
   150   184    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  1296609.4*
   151   185    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  1296862.0*
   152   186    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  1323642.4*
   153   187    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  1323867.4*
   154   188    1S2 2S1 2P6 3P2     (2)2( 2.5)  1360404.2*
   155   189    1S2 2S1 2P6 3P2     (2)2( 1.5)  1360419.0*
   156   192    1S2 2S1 2P6 3P2     (4)1( 2.5)  1365554.5*
   157   193    1S2 2S1 2P6 3P2     (2)1( 0.5)  1373893.8*
   158   194    1S2 2S1 2P6 3P2     (2)1( 1.5)  1374373.7*
   159   199    1S2 2S1 2P6 3P2     (2)0( 0.5)  1400402.9*
   160   200    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  1408466.8*
   161   201    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  1408499.7*
   162   202    1S2 2S1 2P6 3S1 3D1 (2)2( 1.5)  1434799.0*
   163   203    1S2 2S1 2P6 3S1 3D1 (2)2( 2.5)  1434817.2*
   164   208    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  1459213.7*
   165   209    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  1459258.9*
   166   210    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  1460050.4*
