SEQ='MG'     NUCCHG=14                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  63076954.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    69764.0 
     3          2S2 2P6 3P1         (2)1( 1.5)    70231.5 
     4          2S2 2P6 3D1         (2)2( 1.5)   158402.6 
     5          2S2 2P6 3D1         (2)2( 2.5)   158438.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  63342701.4 NLVL=   981
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   156    95    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)   979966.9*
   157    96    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   981168.3*
   158    97    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   981259.6*
   159    98    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   982342.5*
   160    99    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   982462.0*
   161   100    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   982663.5*
   162   101    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   982716.2*
   163   102    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   983007.9*
   164   103    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   983075.6*
   165   104    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   983117.9*
   166   105    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   984016.0*
   167   106    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   984162.0*
   168   107    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   984443.5*
   169   108    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   984473.8*
   170   109    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   985237.4*
   171   110    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   985455.0*
   172   111    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)   985692.7*
   173   112    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   985823.3*
   174   113    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)   986580.5*
   175   114    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)   987053.3*
   176   115    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)   989148.4*
   177   116    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)   989462.4*
   178   117    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)   989885.8*
   179   118    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)   990127.9*
   180   119    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)   991803.5*
   181   120    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)   992552.2*
   182   121    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)   993480.0*
   183   122    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)   993630.7*
   184   123    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)   993856.0*
   185   124    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)   994412.7*
