SEQ='NE'     NUCCHG=28                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 283807305.8  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                             19          20          21          22          23          24
                                                                             25          26          27          28          29          30
                                                                             31          32          33          34          35          36
                                                                             37          38          39          40          41          42
                                                                             43          44          45          46          47          48
                                                                             49          50          51          52          53          54
                                                                             55          56          57          58          59          60
                                                                             61          62          63          64          65          66
                                                                             67          68          69          70          71          72
                                                                             73          74          75          76          77          78
                                                                             79          80          81          82          83          84
                                                                             85          86          87          88          89          90
                                                                             91          92          93          94          95          96
                                                                             97          98          99         100         101         102
                                                                            103         104         105         106         107         108
                                                                            109         110         111         112         113         114
     2    28  3  -1    5.525194E+02   2.794E+14   8.362E+14   9.991E+14   5.725E+12   2.852E+12   1.433E+13   4.143E+13   3.607E+13   1.657E+13
                                                                          3.706E+12   2.314E+12   3.195E+14   2.009E+14   3.107E+11   1.452E+11
                                                                          3.279E+11   6.344E+10   5.409E+06   2.175E+10   3.939E+10   1.156E+11
                                                                          1.472E+11   4.633E+13   4.533E+11   7.708E+10   2.052E+11   4.477E+10
                                                                          3.622E+09   3.562E+07   3.092E+11   2.776E+10   2.039E+11   9.809E+10
                                                                          3.590E+10   8.253E+04   2.135E+10   2.138E+09   0.000E+00   2.940E+03
                                                                          3.668E+10   1.026E+11   4.130E+09   1.059E+11   1.188E+11   1.431E+10
                                                                          4.950E+10   1.338E+07   3.902E+04   1.099E+09   1.097E+08   2.246E+08
                                                                          5.202E+10   5.986E+02   0.000E+00   2.057E+11   1.102E+11   8.877E+03
                                                                          4.154E+08   4.068E+11   2.201E+11   2.734E+10   2.265E+13   1.719E+13
                                                                          3.399E+10   1.330E+11   1.199E+13   4.086E+12   1.069E+13   8.037E+08
                                                                          4.506E+10   9.903E+06   2.804E+10   1.571E+10   2.613E+09   3.005E+10
                                                                          3.579E+11   1.663E+10   6.212E+10   1.266E+14   2.884E+06   5.121E+13
                                                                          2.665E+10   5.449E+11   5.298E+09   1.555E+10   1.105E+05   2.196E+09
                                                                          1.357E+05   4.849E+11   7.129E+08   6.310E+05   3.083E+10   8.437E+11
                                                                          1.108E+11   3.285E+10   3.761E+10   1.877E+08   4.717E+08   6.510E+05
                                                                          1.461E+08   6.231E+10   9.704E+11   1.780E+10   2.291E+08   1.206E+11
                                                                          2.398E+06   3.578E+05   2.488E+11   1.544E+11   2.416E+07   5.004E+10
                                                                          5.566E+13   2.146E+11   4.158E+11   7.308E+07   1.436E+08   0.000E+00
     3    28  3  -1    5.523584E+02   1.180E+14
     4    28  3  -1    5.511342E+02   2.773E+14
     5    28  3  -1    5.510379E+02   1.600E+14
     3    29  3  -1    5.527964E+02   1.659E+14   8.599E+14   1.042E+15   3.247E+13   1.629E+13   1.052E+13   4.127E+13   3.593E+13   1.656E+13
                                                                          3.691E+12   2.312E+12   3.183E+14   2.002E+14   6.414E+10   5.165E+07
                                                                          9.137E+10   1.673E+08   2.501E+08   3.613E+09   2.485E+10   2.146E+10
                                                                          2.960E+10   4.629E+13   1.490E+11   6.777E+06   6.066E+10   1.673E+10
                                                                          1.067E+09   1.638E+09   4.922E+10   1.263E+08   8.983E+10   4.356E+09
                                                                          3.556E+10   0.000E+00   2.147E+10   2.297E+09   0.000E+00   0.000E+00
                                                                          4.054E+10   5.840E+09   4.929E+09   9.678E+10   4.073E+10   1.330E+10
                                                                          4.691E+10   1.877E+07   0.000E+00   1.423E+09   3.928E+07   1.289E+08
                                                                          4.497E+10   0.000E+00   0.000E+00   2.282E+11   1.057E+11   0.000E+00
                                                                          3.832E+08   3.740E+11   2.015E+11   2.966E+10   5.876E+02   2.711E+12
                                                                          3.180E+10   1.196E+11   2.087E+10   4.804E+13   3.086E+12   6.924E+08
                                                                          4.016E+10   0.000E+00   2.619E+10   1.197E+10   2.216E+09   3.111E+10
                                                                          3.420E+11   2.130E+10   5.758E+10   1.194E+14   2.853E+07   8.219E+13
                                                                          2.333E+10   5.145E+11   2.134E+09   7.648E+09   0.000E+00   4.312E+02
                                                                          1.492E+07   5.177E+11   1.152E+07   1.612E+08   9.069E+09   8.892E+11
                                                                          1.083E+11   3.628E+10   1.319E+10   6.724E+07   1.620E+07   3.093E+08
                                                                          7.468E+09   1.838E+10   1.021E+12   5.618E+09   5.602E+07   1.553E+10
                                                                          7.447E+08   7.986E+08   1.998E+11   1.154E+11   6.768E+07   2.515E+10
                                                                          5.559E+13   2.752E+11   4.856E+11   6.658E+07   1.269E+08   0.000E+00
     5    29  3  -1    5.514760E+02   1.206E+14
    23    29  3  -1    5.455943E+02   4.224E+10
    27    29  3  -1    5.442037E+02   4.065E+10
     6    30  3  -1    5.525887E+02   1.324E+14   8.358E+14   1.030E+15   3.636E+13   3.348E+12   1.090E+13   2.607E+06   9.191E+08   1.987E+08
                                                                          5.864E+10   3.345E+08   2.017E+07   3.353E+11   3.291E+13   2.863E+13
                                                                          2.478E+12   1.818E+13   0.000E+00   1.604E+13   9.810E+12   1.164E+08
                                                                          2.079E+12   8.635E+10   6.073E+13   2.584E+10   1.027E+12   6.894E+12
                                                                          3.063E+14   0.000E+00   2.768E+13   8.979E+12   1.023E+14   2.029E+13
                                                                          1.542E+04   4.432E+04   3.282E+11   1.618E+09   0.000E+00   3.259E+05
                                                                          1.508E+09   9.423E+11   2.003E+10   7.721E+04   2.649E+13   1.645E+10
                                                                          1.355E+05   1.265E+11   3.815E+05   4.914E+10   4.006E+02   1.398E+09
                                                                          2.677E+04   2.851E+06   0.000E+00   2.173E+11   9.042E+04   1.025E+05
                                                                          1.106E+11   3.781E+05   5.190E+10   1.022E+11   1.232E+10   9.709E+11
                                                                          7.843E+03   7.802E+09   1.076E+11   1.644E+12   4.206E+11   1.849E+13
                                                                          9.044E+03   1.108E+04   1.870E+13   1.113E+04   2.212E+12   1.546E+13
                                                                          1.111E+11   1.270E+04   1.883E+11   3.215E+11   2.712E+12   1.605E+11
                                                                          9.342E+11   1.390E+13   1.029E+08   1.756E+08   0.000E+00   7.525E+08
                                                                          0.000E+00   1.079E+14   7.028E+09   0.000E+00   2.528E+09   7.997E+04
                                                                          3.624E+13   1.711E+12   4.482E+09   1.128E+10   1.187E+10   0.000E+00
                                                                          1.221E+09   8.577E+06   2.772E+13   1.157E+11   3.970E+09   3.101E+08
                                                                          4.001E+11   0.000E+00   9.224E+09   1.351E+12   8.956E+08   6.187E+10
                                                                          1.304E+11   5.372E+13   2.049E+09   2.318E+11   5.406E+01   0.000E+00
     9    30  3  -1    5.521116E+02   5.680E+13
    12    30  3  -1    5.510610E+02   8.629E+13
    13    30  3  -1    5.507179E+02   3.093E+12
     1    31  3  -1    6.200755E+02   2.794E+13   8.459E+14   1.027E+15   3.390E+13   4.706E+12   9.783E+12   6.103E+09   5.536E+10   2.047E+10
                                                                          1.658E+09   1.293E+10   4.713E+10   2.328E+11   3.034E+13   2.651E+13
                                                                          3.420E+12   1.810E+13   2.588E+12   1.474E+13   9.385E+12   3.568E+11
                                                                          2.928E+12   5.041E+10   5.641E+13   2.780E+11   1.497E+12   6.414E+12
                                                                          2.815E+14   1.707E+13   3.338E+13   2.092E+13   9.511E+13   2.080E+13
                                                                          1.043E+11   1.784E+05   2.557E+10   8.636E+10   7.381E+05   2.238E+06
                                                                          2.394E+09   4.809E+12   7.222E+10   6.288E+07   2.509E+13   6.955E+09
                                                                          1.074E+10   2.119E+10   4.011E+04   8.648E+10   6.851E+09   1.304E+10
                                                                          1.822E+10   8.334E+06   1.322E+06   2.002E+11   6.859E+09   5.851E+05
                                                                          2.302E+11   2.106E+10   1.310E+11   1.067E+11   1.418E+10   9.445E+11
                                                                          1.049E+09   6.391E+10   1.369E+11   1.578E+12   4.765E+11   6.493E+12
                                                                          2.257E+13   8.635E+03   1.023E+12   1.299E+11   7.163E+12   1.095E+13
                                                                          4.875E+12   3.832E+11   3.186E+12   3.466E+11   4.370E+12   1.489E+11
                                                                          4.805E+11   6.308E+12   4.573E+07   1.904E+08   0.000E+00   6.643E+08
                                                                          2.488E+08   1.137E+14   6.296E+09   9.725E+06   2.453E+09   6.904E+12
                                                                          2.700E+13   7.616E+12   4.220E+09   1.042E+10   1.158E+10   1.666E+09
                                                                          5.136E+09   7.484E+07   2.285E+13   1.051E+11   3.731E+09   2.415E+09
                                                                          3.713E+11   2.706E+10   1.061E+11   1.245E+12   6.542E+09   6.458E+10
                                                                          1.605E+11   4.935E+13   4.389E+12   2.197E+11   1.769E+10   0.000E+00
     6    31  3  -1    5.526461E+02   1.056E+14
     7    31  3  -1    5.524533E+02   2.611E+14
     9    31  3  -1    5.521689E+02   4.727E+11
    10    31  3  -1    5.520093E+02   1.340E+13
    11    31  3  -1    5.514175E+02   1.922E+14
    12    31  3  -1    5.511183E+02   1.636E+14
    13    31  3  -1    5.507752E+02   7.980E+12
    14    31  3  -1    5.507372E+02   5.371E+12
    15    31  3  -1    5.493349E+02   8.512E+13
     6    32  3  -1    5.529186E+02   2.803E+13   8.358E+14   1.030E+15   2.148E+13   1.820E+13   1.089E+13   7.323E+10   2.181E+10   2.845E+10
                                                                          1.879E+10   5.489E+09   2.122E+11   1.305E+10   1.356E+12   2.694E+12
                                                                          1.406E+13   1.722E+13   3.179E+13   8.510E+10   4.481E+12   4.383E+12
                                                                          1.248E+13   2.432E+10   7.569E+12   3.127E+12   6.789E+12   9.675E+11
                                                                          2.562E+12   2.095E+14   9.751E+13   1.556E+14   1.516E+13   2.629E+13
                                                                          9.723E+09   7.172E+10   7.897E+09   7.321E+09   6.384E+05   2.635E+09
                                                                          3.782E+10   4.837E+13   4.323E+10   1.998E+10   9.575E+12   2.418E+09
                                                                          2.939E+10   4.043E+09   3.917E+10   5.977E+09   3.175E+10   1.406E+11
                                                                          4.278E+10   6.496E+08   2.077E+06   4.328E+10   1.597E+11   1.007E+10
                                                                          1.643E+11   9.997E+10   1.640E+10   8.270E+10   2.869E+10   6.930E+11
                                                                          6.461E+10   1.537E+10   4.182E+11   9.735E+11   1.154E+12   1.554E+12
                                                                          5.768E+10   1.825E+13   3.189E+12   7.343E+12   1.414E+11   2.195E+11
                                                                          2.919E+12   1.077E+13   7.854E+12   6.061E+11   1.766E+12   5.703E+09
                                                                          5.901E+12   1.650E+11   1.958E+07   1.005E+08   4.822E+05   1.858E+07
                                                                          2.672E+09   7.524E+11   7.225E+07   6.148E+07   1.256E+09   9.759E+13
                                                                          1.282E+13   5.783E+13   1.043E+09   2.568E+06   8.754E+09   2.146E+10
                                                                          4.658E+10   8.644E+08   1.709E+13   5.309E+06   1.801E+09   2.308E+10
                                                                          3.142E+10   3.363E+11   1.206E+12   1.597E+10   7.152E+10   1.023E+11
                                                                          1.696E+11   1.353E+09   5.389E+13   2.478E+10   2.249E+11   0.000E+00
     7    32  3  -1    5.527258E+02   1.038E+12
     8    32  3  -1    5.525148E+02   2.809E+14
     9    32  3  -1    5.524415E+02   4.355E+13
    10    32  3  -1    5.522819E+02   1.364E+14
    12    32  3  -1    5.513909E+02   2.276E+12
    13    32  3  -1    5.510478E+02   2.015E+14
    14    32  3  -1    5.510097E+02   1.399E+14
     1    33  3  -1    6.205879E+02   2.441E+14   9.242E+14   1.009E+15   1.680E+13   1.326E+13   1.128E+12   9.056E+09   5.470E+09   2.618E+09
                                                                          7.389E+09   8.379E+09   1.889E+11   3.251E+10   3.918E+12   4.800E+12
                                                                          1.311E+13   1.729E+13   2.918E+13   1.382E+12   4.901E+12   4.026E+12
                                                                          1.162E+13   3.369E+10   1.190E+13   2.872E+12   6.323E+12   1.448E+12
                                                                          2.725E+13   1.923E+14   9.172E+13   1.436E+14   2.195E+13   2.570E+13
                                                                          2.920E+10   8.104E+05   1.170E+09   2.536E+09   6.228E+06   4.811E+06
                                                                          1.647E+10   4.445E+13   4.918E+10   2.218E+10   1.080E+13   3.776E+09
                                                                          1.897E+10   6.374E+09   2.170E+05   7.345E+09   9.374E+07   1.383E+10
                                                                          1.284E+10   2.543E+07   4.184E+07   1.235E+11   7.008E+10   1.040E+07
                                                                          2.394E+11   2.609E+11   9.379E+10   1.209E+11   2.694E+10   6.906E+11
                                                                          1.143E+10   8.862E+10   3.845E+11   9.765E+11   1.061E+12   1.637E+11
                                                                          2.457E+11   1.611E+01   4.065E+12   1.045E+13   1.649E+12   5.775E+12
                                                                          8.415E+12   1.846E+13   6.951E+12   6.009E+11   1.510E+11   2.241E+10
                                                                          5.268E+12   6.985E+12   2.605E+07   1.365E+08   0.000E+00   7.375E+07
                                                                          2.386E+09   1.219E+13   5.820E+08   1.856E+07   1.291E+09   7.472E+13
                                                                          2.037E+13   5.995E+13   1.255E+09   1.044E+09   8.801E+09   2.064E+10
                                                                          4.187E+10   7.351E+08   9.079E+12   8.449E+09   1.791E+09   1.921E+10
                                                                          6.293E+10   3.120E+11   1.109E+12   1.244E+11   6.685E+10   1.006E+11
                                                                          6.222E+11   4.375E+12   4.951E+13   4.408E+10   1.998E+11   0.000E+00
     6    33  3  -1    5.531585E+02   1.086E+13
     7    33  3  -1    5.529657E+02   1.773E+13
     9    33  3  -1    5.526814E+02   1.801E+14
    10    33  3  -1    5.525218E+02   1.282E+14
    11    33  3  -1    5.519299E+02   8.557E+13
    12    33  3  -1    5.516307E+02   2.703E+13
    13    33  3  -1    5.512877E+02   6.373E+13
    14    33  3  -1    5.512496E+02   1.321E+14
    15    33  3  -1    5.498473E+02   2.077E+14
    16    34  3  -1    5.531772E+02   2.793E+14   8.377E+14   9.763E+14   4.313E+12   2.613E+10   4.001E+11   1.270E+09   3.499E+10   2.417E+10
                                                                          1.369E+10   3.667E+10   2.042E+10   3.999E+10   1.482E+09   9.147E+08
                                                                          1.339E+09   7.677E+09   4.902E+04   3.062E+09   1.858E+09   4.598E+09
                                                                          6.339E+09   4.376E+10   5.796E+09   3.134E+09   3.213E+09   1.516E+09
                                                                          1.231E+11   1.116E+05   1.765E+10   3.725E+09   1.359E+10   3.061E+09
                                                                          1.341E+13   4.931E+12   1.611E+13   7.856E+12   0.000E+00   3.087E+13
                                                                          2.867E+11   3.962E+09   6.325E+12   8.378E+12   2.262E+10   1.439E+13
                                                                          1.144E+12   3.738E+12   1.442E+11   1.615E+13   2.439E+12   2.438E+12
                                                                          2.935E+13   1.997E+14   0.000E+00   3.617E+13   2.122E+13   5.500E+12
                                                                          3.513E+13   1.041E+14   5.444E+13   1.153E+13   4.941E+07   3.821E+09
                                                                          8.247E+11   4.122E+13   7.054E+09   8.200E+09   4.918E+09   1.112E+10
                                                                          3.004E+10   2.425E+09   1.295E+09   3.220E+09   8.992E+09   3.556E+10
                                                                          6.042E+10   1.728E+10   2.043E+09   7.424E+09   1.244E+08   2.168E+10
                                                                          4.080E+08   8.157E+10   6.158E+12   6.300E+12   1.355E+02   5.477E+12
                                                                          1.937E+02   7.193E+11   1.304E+13   9.061E+02   9.815E+12   8.834E+10
                                                                          1.467E+11   1.191E+11   2.503E+12   4.383E+12   5.529E+12   6.018E+03
                                                                          1.722E+12   3.544E+12   1.580E+11   7.811E+11   2.098E+12   8.144E+12
                                                                          8.100E+13   8.357E+02   3.401E+10   3.491E+13   2.139E+11   6.028E+13
                                                                          7.805E+07   6.330E+11   1.062E+11   5.513E+13   1.118E+06   0.000E+00
    17    34  3  -1    5.530837E+02   1.597E+14
    19    34  3  -1    5.529145E+02   3.809E+13
    21    34  3  -1    5.527523E+02   1.249E+14
    23    34  3  -1    5.521973E+02   9.380E+13
    24    34  3  -1    5.515300E+02   1.138E+14
