SEQ='MG'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86007310.2  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   104740.3 
     3          2S2 2P6 3P1         (2)1( 1.5)   105995.1 
     4          2S2 2P6 3D1         (2)2( 1.5)   247928.3 
     5          2S2 2P6 3D1         (2)2( 2.5)   248073.7 

   IC RESOLVED LEVEL INDEXING           BWNR=  86586122.6 NLVL=  1096
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   201   132    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1646863.3*
   202   133    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1648892.5*
   203   134    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1649141.6*
   204   135    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1649236.1*
   205   136    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1652966.8*
   206   137    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1653110.2*
   207   138    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1654747.0*
   208   139    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1655423.3*
   209   140    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  1669074.0*
   210   141    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  1669143.2*
   211   142    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1671418.6*
   212   143    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  1671692.3*
   213   144    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1673399.1*
   214   145    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  1675153.7*
   215   146    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1675927.2*
   216   147    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1676246.8*
   217   148    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1678340.7*
   218   149    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  1679009.1*
   219   150    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  1679847.9*
   220   151    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1681522.9*
   221   152    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1681533.2*
   222   153    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1682024.9*
   223   154    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1682548.4*
   224   155    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1683111.4*
   225   156    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1684675.0*
   226   157    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1685560.9*
   227   158    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1685806.0*
   228   159    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1686548.7*
   229   160    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1687124.7*
   230   161    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1687544.9*
   231   162    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1687698.5*
   232   163    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1687961.7*
   233   164    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1689245.1*
   234   165    2S2 2P5 3P3         (3)1( 1.0)  1689814.8*
   235   166    2S2 2P5 3P3         (3)1( 0.0)  1689872.5*
   236   167    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1690672.8*
   237   168    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1692885.9*
   238   169    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1695711.9*
   239   170    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1695896.2*
   240   171    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  1696429.4*
   241   172    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1697933.2*
   242   660    2S2 2P5 3P2 3D1     (3)2( 1.0)  1698173.1*
   243   173    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1698691.8*
   244   174    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1698895.5*
   245   661    2S2 2P5 3P2 3D1     (3)2( 2.0)  1698899.7*
   246   175    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  1699787.8*
   247   176    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1699940.4*
   248   662    2S2 2P5 3P2 3D1     (3)2( 3.0)  1699965.4*
   249   177    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1700987.4*
   250   663    2S2 2P5 3P2 3D1     (5)2( 0.0)  1702027.2*
   251   664    2S2 2P5 3P2 3D1     (5)2( 1.0)  1702317.5*
   252   665    2S2 2P5 3P2 3D1     (5)2( 2.0)  1702904.7*
   253   178    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1703582.8*
   254   666    2S2 2P5 3P2 3D1     (5)2( 3.0)  1703780.5*
   255   667    2S2 2P5 3P2 3D1     (3)4( 5.0)  1704105.3*
   256   668    2S2 2P5 3P2 3D1     (3)4( 4.0)  1704719.2*
   257   669    2S2 2P5 3P2 3D1     (5)2( 4.0)  1704794.1*
   258   670    2S2 2P5 3P2 3D1     (3)3( 3.0)  1705190.5*
   259   179    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1705261.3*
   260   671    2S2 2P5 3P2 3D1     (5)3( 5.0)  1705287.8*
   261   672    2S2 2P5 3P2 3D1     (3)3( 4.0)  1706322.6*
   262   673    2S2 2P5 3P2 3D1     (5)3( 2.0)  1707237.2*
   263   674    2S2 2P5 3P2 3D1     (5)3( 3.0)  1707313.3*
   264   675    2S2 2P5 3P2 3D1     (5)3( 4.0)  1708324.0*
   265   676    2S2 2P5 3P2 3D1     (5)3( 1.0)  1708564.4*
   266   677    2S2 2P5 3P2 3D1     (5)1( 1.0)  1709172.5*
   267   678    2S2 2P5 3P2 3D1     (3)3( 2.0)  1709612.8*
   268   680    2S2 2P5 3P2 3D1     (5)1( 2.0)  1710614.6*
   269   681    2S2 2P5 3P2 3D1     (3)3( 3.0)  1711437.2*
   270   684    2S2 2P5 3P2 3D1     (5)1( 3.0)  1713119.0*
   271   685    2S2 2P5 3P2 3D1     (3)4( 3.0)  1713800.9*
   272   686    2S2 2P5 3P2 3D1     (3)1( 2.0)  1714454.6*
   273   687    2S2 2P5 3P2 3D1     (5)4( 3.0)  1714658.3*
