SEQ='NA'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  73568537.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74085637.4 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   124   149    1S2 2S2 2P5 3D2     (2)3( 2.5)  1483101.2*
   125   150    1S2 2S2 2P5 3D2     (4)1( 1.5)  1484116.4*
   126   151    1S2 2S2 2P5 3D2     (2)3( 3.5)  1484498.7*
   127   152    1S2 2S2 2P5 3D2     (2)2( 2.5)  1484930.1*
   128   154    1S2 2S2 2P5 3D2     (4)1( 0.5)  1485491.4*
   129   155    1S2 2S2 2P5 3D2     (2)2( 1.5)  1486320.5*
   130   157    1S2 2S2 2P5 3D2     (2)1( 0.5)  1487830.7*
   131   158    1S2 2S2 2P5 3D2     (2)3( 3.5)  1489386.5*
   132   159    1S2 2S2 2P5 3D2     (2)1( 1.5)  1491542.5*
   133   160    1S2 2S2 2P5 3D2     (4)2( 3.5)  1491611.8*
   134   161    1S2 2S2 2P5 3D2     (4)2( 2.5)  1491834.2*
   135   163    1S2 2S2 2P5 3D2     (2)2( 1.5)  1492608.3*
   136   164    1S2 2S2 2P5 3D2     (2)3( 2.5)  1494060.3*
   137   165    1S2 2S2 2P5 3D2     (4)2( 0.5)  1496626.6*
   138   166    1S2 2S2 2P5 3D2     (2)3( 3.5)  1496958.7*
   139   167    1S2 2S2 2P5 3D2     (2)2( 2.5)  1496991.2*
   140   168    1S2 2S2 2P5 3D2     (4)2( 1.5)  1497378.2*
   141   169    1S2 2S2 2P5 3D2     (2)2( 2.5)  1499982.8*
   142   170    1S2 2S2 2P5 3D2     (4)0( 1.5)  1500488.3*
   143   171    1S2 2S2 2P5 3D2     (2)0( 0.5)  1500898.0*
   144   173    1S2 2S2 2P5 3D2     (2)3( 2.5)  1503229.7*
   145   174    1S2 2S2 2P5 3D2     (2)2( 1.5)  1503498.9*
   146   175    1S2 2S2 2P5 3D2     (2)4( 3.5)  1504249.5*
   147   176    1S2 2S2 2P5 3D2     (2)1( 0.5)  1505381.9*
   148   177    1S2 2S2 2P5 3D2     (2)1( 1.5)  1508364.8*
   149   178    1S2 2S2 2P5 3D2     (2)1( 1.5)  1526747.1*
   150   179    1S2 2S1 2P6 3S2     (2)0( 0.5)  1531385.8*
   151   180    1S2 2S2 2P5 3D2     (2)1( 0.5)  1535257.2*
   152   184    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  1615552.1*
   153   185    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  1615948.1*
   154   186    1S2 2S1 2P6 3S1 3P1 (2)1( 0.5)  1646659.2*
   155   187    1S2 2S1 2P6 3S1 3P1 (2)1( 1.5)  1647023.0*
