SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085659.4  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)    87341.3 
     3          2S2 2P6 3P1         (2)1( 1.5)    88138.6 
     4          2S2 2P6 3D1         (2)2( 1.5)   203504.5 
     5          2S2 2P6 3D1         (2)2( 2.5)   203581.9 

   IC RESOLVED LEVEL INDEXING           BWNR=  74495206.5 NLVL=  1082
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   168   100    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1288267.2*
   169   101    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1289620.2*
   170   102    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1289994.9*
   171   103    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1290117.9*
   172   104    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1290212.8*
   173   105    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1290971.7*
   174   106    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1291684.7*
   175   107    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1292073.6*
   176   108    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1292366.3*
   177   109    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1292403.0*
   178   110    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  1292650.6*
   179   111    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  1294185.3*
   180   112    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1294214.9*
   181   113    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1294447.8*
   182   114    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  1296042.4*
   183   115    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  1296685.3*
   184   116    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1298811.4*
   185   117    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1299429.1*
   186   118    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1299811.6*
   187   119    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  1300426.3*
   188   120    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  1301161.8*
   189   121    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  1301214.6*
   190   122    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  1302163.1*
   191   123    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  1302469.7*
   192   124    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  1302581.0*
   193   125    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  1302817.1*
   194   126    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  1303366.5*
   195   127    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  1304904.1*
   196   128    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  1304968.2*
   197   129    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  1305396.4*
