SEQ='NA'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  97930480.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  98844272.0 NLVL=   190
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   167   204    1S2 2S1 2P6 3P1 3D1 (4)3( 1.5)  2607256.2*
   168   205    1S2 2S1 2P6 3P1 3D1 (4)3( 2.5)  2607788.6*
   169   206    1S2 2S1 2P6 3P1 3D1 (4)3( 3.5)  2608548.2*
   170   208    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  2618302.3*
   171   209    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  2618463.9*
   172   210    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  2622345.4*
   173   211    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  2623742.0*
   174   213    1S2 2S1 2P6 3P1 3D1 (4)1( 1.5)  2638378.4*
   175   214    1S2 2S1 2P6 3P1 3D1 (4)1( 0.5)  2638787.7*
   176   215    1S2 2S1 2P6 3P1 3D1 (4)2( 0.5)  2640401.4*
   177   216    1S2 2S1 2P6 3P1 3D1 (4)2( 1.5)  2640735.4*
   178   219    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  2652730.2*
   179   220    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  2653469.9*
   180   221    1S2 2S1 2P6 3P1 3D1 (2)2( 1.5)  2655590.9*
   181   222    1S2 2S1 2P6 3P1 3D1 (2)2( 2.5)  2656053.4*
   182   223    1S2 2S1 2P6 3P1 3D1 (2)3( 2.5)  2689543.5*
   183   224    1S2 2S1 2P6 3P1 3D1 (2)3( 3.5)  2689562.1*
   184   225    1S2 2S1 2P6 3P1 3D1 (2)1( 1.5)  2698032.0*
   185   226    1S2 2S1 2P6 3P1 3D1 (2)1( 0.5)  2698058.4*
   186   236    1S2 2S1 2P6 3D2     (2)2( 1.5)  2823699.1*
   187   237    1S2 2S1 2P6 3D2     (2)2( 2.5)  2823702.9*
   188   240    1S2 2S1 2P6 3D2     (2)1( 0.5)  2832610.8*
   189   241    1S2 2S1 2P6 3D2     (2)1( 1.5)  2832774.1*
   190   242    1S2 2S1 2P6 3D2     (2)0( 0.5)  2869815.9*
  
CL 7     /IC/

  IRSL  IRSL  N   L      DEL(RYD)       B(SEC)      R(SEC)      A(SEC):       1
     1     6  3  -1    1.487014E+01   7.903E+10   3.963E+10   7.417E+11   7.417E+11
     5     6  3  -1    1.220955E+01   7.334E+07
     1     7  3  -1    1.501527E+01   4.136E+10   4.148E+10   7.409E+11   7.409E+11
     4     7  3  -1    1.235725E+01   6.111E+07
     2     8  3  -1    1.451071E+01   1.724E+08   4.335E+08   2.142E+06   2.142E+06
     3     8  3  -1    1.449073E+01   3.473E+08
     3    10  3  -1    1.462565E+01   4.511E+09   3.008E+09   1.443E+08   1.443E+08
     2    11  3  -1    1.467186E+01   1.550E+10   7.892E+09   8.746E+08   8.746E+08
     3    11  3  -1    1.465189E+01   1.403E+08
     2    12  3  -1    1.470455E+01   6.224E+09   7.595E+09   4.809E+09   4.809E+09
     3    12  3  -1    1.468457E+01   6.848E+08
     3    13  3  -1    1.471015E+01   1.457E+10   9.711E+09   2.103E+09   2.103E+09
     2    14  3  -1    1.475528E+01   2.219E+10   2.720E+10   5.262E+09   5.262E+09
     3    14  3  -1    1.473530E+01   1.611E+10
     2    15  3  -1    1.478349E+01   2.401E+09   5.975E+09   7.042E+10   7.042E+10
     3    15  3  -1    1.476352E+01   1.750E+09
     2    16  3  -1    1.483510E+01   5.087E+10   3.038E+10   6.770E+09   6.770E+09
     3    16  3  -1    1.481512E+01   4.950E+09
     2    17  3  -1    1.484909E+01   1.756E+10   4.271E+10   7.699E+08   7.699E+08
     3    17  3  -1    1.482912E+01   1.253E+10
     3    18  3  -1    1.486105E+01   6.638E+10   4.427E+10   5.632E+09   5.632E+09
     2    19  3  -1    1.488867E+01   2.654E+10   4.106E+10   1.955E+08   1.955E+08
     3    19  3  -1    1.486869E+01   2.775E+10
     2    20  3  -1    1.493450E+01   3.185E+10   5.348E+10   1.757E+12   1.757E+12
     3    20  3  -1    1.491452E+01   1.006E+10
     3    21  3  -1    1.516307E+01   3.664E+10   3.095E+10   4.749E+11   4.749E+11
     2    22  3  -1    1.523857E+01   4.570E+10   4.117E+10   1.870E+11   1.870E+11
     3    22  3  -1    1.521859E+01   1.115E+10
     2    23  3  -1    1.534890E+01   4.948E+09   3.824E+10   2.515E+11   2.515E+11
     3    23  3  -1    1.532892E+01   2.877E+10
     2    24  3  -1    1.535810E+01   1.740E+10   4.941E+10   1.755E+12   1.755E+12
     3    24  3  -1    1.533812E+01   1.223E+10
     1    25  3  -1    1.693445E+01   1.138E+10   1.725E+10   1.227E+13   1.227E+13
     4    25  3  -1    1.427643E+01   2.277E+09
     1    26  3  -1    1.695431E+01   1.312E+10   1.196E+10   7.462E+12   7.462E+12
     4    26  3  -1    1.429629E+01   7.619E+08
     5    26  3  -1    1.429373E+01   1.670E+09
     2    28  3  -1    1.588776E+01   2.949E+10   8.194E+10   3.302E+14   3.302E+14
     3    28  3  -1    1.586778E+01   2.099E+10
     1    29  3  -1    1.700574E+01   5.245E+09   8.054E+09   3.922E+12   3.922E+12
     4    29  3  -1    1.434772E+01   3.778E+08
