SEQ='NE'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  71808099.1  NPRNT= 114
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
                                                                          2.039E+13   1.366E+13   6.823E+12   4.771E+12   3.328E+12   4.294E+07
                                                                          8.564E+06   3.718E+09   1.722E+09   4.023E+06   1.432E+10   1.109E+08
                                                                          3.240E+10   1.316E+07   1.488E+10   3.144E+09   2.563E+10   4.391E+11
                                                                          8.813E+13   4.313E+13   4.515E+09   1.029E+10   1.011E+10   1.819E+04
                                                                          1.600E+04   1.054E+08   4.153E+08   7.590E+04   3.408E+08   4.577E+09
                                                                          8.072E+04   5.745E+09   5.376E+05   1.007E+10   6.777E+07   1.032E+11
                                                                          2.213E+11   4.002E+11   6.087E+11   9.857E+08   1.581E+09   8.107E+11
                                                                          1.175E+05   1.485E+05   2.432E+11   1.229E+11   1.167E+08   8.994E+05
                                                                          4.060E+13   1.492E+11   2.978E+11   4.201E+07   6.524E+07   0.000E+00
     3    28  3  -1    1.483991E+02   1.377E+13
     4    28  3  -1    1.483548E+02   1.652E+13
     5    28  3  -1    1.482965E+02   2.759E+12
    17    28  3  -1    1.464185E+02   2.152E+09
    18    28  3  -1    1.464000E+02   1.748E+09
     3    29  3  -1    1.485286E+02   2.811E+12   5.040E+13   7.434E+14   1.701E+13   8.509E+12   6.074E+12   1.360E+12   3.285E+11   1.938E+11
                                                                          1.425E+12   1.829E+11   2.563E+14   1.700E+14   1.213E+02   2.832E+09
                                                                          9.778E+08   4.728E+04   2.296E+04   5.641E+07   1.747E+07   4.848E+13
                                                                          2.459E+04   5.598E+10   3.964E+10   2.563E+10   1.041E+11   2.959E+10
                                                                          5.103E+06   6.843E+06   6.368E+08   2.342E+04   5.807E+08   7.773E+09
                                                                          7.554E+10   0.000E+00   2.355E+09   1.057E+09   4.369E+06   4.170E+10
                                                                          0.000E+00   0.000E+00   1.833E+09   1.553E+09   5.993E+08   1.487E+08
                                                                          0.000E+00   1.324E+09   1.976E+08   5.885E+08   4.505E+07   1.049E+10
                                                                          1.347E+08   0.000E+00   0.000E+00   2.363E+11   4.132E+08   4.629E+10
                                                                          0.000E+00   5.537E+09   3.855E+11   2.728E+11   8.520E+10   6.704E+10
                                                                          0.000E+00   3.711E+10   4.892E+09   2.799E+13   1.187E+13   2.707E-01
