SEQ='MG'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  74085886.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6 3S1     (2)0( 0.5)        0.0 
     2          1S2 2S2 2P6 3P1     (2)1( 0.5)    86683.0 
     3          1S2 2S2 2P6 3P1     (2)1( 1.5)    87642.8 
     4          1S2 2S2 2P6 3D1     (2)2( 1.5)   203276.5 
     5          1S2 2S2 2P6 3D1     (2)2( 2.5)   203366.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74496363.9 NLVL=   165
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     9   499  3  -1    1.582932E+02   1.292E+11
    10   499  3  -1    1.582909E+02   1.274E+11
    11   499  3  -1    1.582895E+02   5.867E+11
    12   499  3  -1    1.582755E+02   2.050E+09
    13   499  3  -1    1.582742E+02   2.200E+09
     2   500  3  -1    1.602561E+02   8.932E+08   4.989E+13   7.434E+14   2.168E+04   1.700E+07   6.262E+06   6.453E+10   4.108E+10
    10   500  3  -1    1.582918E+02   1.273E+11
    12   500  3  -1    1.582764E+02   2.389E+09
     9   501  3  -1    1.582993E+02   3.247E+10   4.953E+13   7.449E+14   1.668E+03   3.137E+06   3.850E+06   2.657E+09   8.650E+09
    10   501  3  -1    1.582970E+02   1.112E+10
     8   502  3  -1    1.584449E+02   4.535E+09   4.970E+13   7.442E+14   9.868E+03   1.057E+07   5.526E+06   2.596E+10   3.049E+10
     9   502  3  -1    1.582999E+02   4.854E+10
    10   502  3  -1    1.582976E+02   5.082E+10
    11   502  3  -1    1.582961E+02   1.961E+11
    13   503  3  -1    1.582810E+02   3.045E+09   4.950E+13   7.451E+14   1.919E+04   1.200E+07   4.679E+06   1.383E+07   1.910E+08
     2   504  3  -1    1.602630E+02   8.696E+08   4.986E+13   7.435E+14   2.246E+04   1.590E+07   5.763E+06   6.144E+10   3.905E+10
    10   504  3  -1    1.582988E+02   1.186E+11
    12   504  3  -1    1.582833E+02   1.462E+09
     7   505  3  -1    1.584741E+02   3.963E+09   4.950E+13   7.450E+14   0.000E+00   9.311E+06   2.408E+07   3.946E+07   3.422E+08
    14   505  3  -1    1.582815E+02   9.840E+09
     5   506  3  -1    1.585023E+02   2.741E+12   5.406E+13   7.356E+14   4.540E+05   4.428E+09   4.955E+09   5.684E+09   1.285E+09
     6   506  3  -1    1.584992E+02   2.878E+11
     8   506  3  -1    1.584678E+02   1.190E+10
     9   506  3  -1    1.583228E+02   8.718E+09
    10   506  3  -1    1.583206E+02   5.872E+10
    12   506  3  -1    1.583051E+02   1.714E+12
    13   506  3  -1    1.583038E+02   1.789E+11
    14   506  3  -1    1.583027E+02   3.508E+09
     5   507  3  -1    1.585058E+02   3.958E+11   5.406E+13   7.356E+14   1.906E+05   3.841E+09   5.568E+09   4.349E+09   2.956E+09
     6   507  3  -1    1.585027E+02   2.574E+12
     7   507  3  -1    1.584988E+02   2.405E+11
     8   507  3  -1    1.584713E+02   5.723E+09
     9   507  3  -1    1.583263E+02   6.769E+10
    13   507  3  -1    1.583073E+02   1.492E+12
