SEQ='MG'     NUCCHG=22                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 176834102.8  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   207222.1 
     3          2S2 2P6 3P1         (2)1( 1.5)   215619.9 
     4          2S2 2P6 3D1         (2)2( 1.5)   505958.9 
     5          2S2 2P6 3D1         (2)2( 2.5)   507555.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 178956323.0 NLVL=  1117
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   222   151    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4346808.6*
   223   152    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  4347643.6*
   224   153    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4350105.3*
   225   154    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  4351103.2*
   226   155    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  4352442.7*
   227   156    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  4353147.1*
   228   157    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  4355025.7*
   229   158    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  4357899.9*
   230   159    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4360142.4*
   231   160    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  4360882.8*
   232   161    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  4361648.9*
   233   162    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  4368851.2*
   234   163    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4374404.3*
   235   164    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  4376357.1*
   236   165    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  4377787.1*
   237   166    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  4378051.6*
   238   167    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  4382938.0*
   239   168    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  4386408.0*
   240   169    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  4387917.6*
   241   170    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  4387970.7*
   242   171    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  4390201.3*
   243   172    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  4391771.5*
   244   660    2S2 2P5 3P2 3D1     (5)2( 0.0)  4397171.5*
   245   661    2S2 2P5 3P2 3D1     (3)2( 1.0)  4397293.2*
   246   173    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  4397733.6*
   247   174    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  4398809.4*
   248   662    2S2 2P5 3P2 3D1     (5)2( 1.0)  4398974.4*
   249   175    2S2 2P5 3P3         (1)0( 0.0)  4399007.6*
   250   663    2S2 2P5 3P2 3D1     (3)2( 2.0)  4399680.6*
   251   176    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  4401444.2*
   252   664    2S2 2P5 3P2 3D1     (5)2( 2.0)  4402244.5*
   253   177    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4403128.6*
   254   665    2S2 2P5 3P2 3D1     (3)2( 3.0)  4403190.3*
   255   666    2S2 2P5 3P2 3D1     (5)2( 3.0)  4406457.1*
   256   667    2S2 2P5 3P2 3D1     (5)3( 4.0)  4409809.1*
   257   668    2S2 2P5 3P2 3D1     (5)3( 5.0)  4410180.5*
   258   669    2S2 2P5 3P2 3D1     (1)3( 3.0)  4412733.0*
   259   670    2S2 2P5 3P2 3D1     (3)4( 4.0)  4413429.3*
   260   671    2S2 2P5 3P2 3D1     (5)1( 1.0)  4413601.6*
   261   672    2S2 2P5 3P2 3D1     (3)4( 5.0)  4413723.1*
   262   673    2S2 2P5 3P2 3D1     (5)2( 4.0)  4415295.2*
   263   178    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  4415303.2*
   264   674    2S2 2P5 3P2 3D1     (5)3( 2.0)  4416330.7*
   265   675    2S2 2P5 3P2 3D1     (5)3( 3.0)  4417492.0*
   266   676    2S2 2P5 3P2 3D1     (5)1( 2.0)  4419535.7*
   267   678    2S2 2P5 3P2 3D1     (3)3( 4.0)  4423187.9*
   268   679    2S2 2P5 3P2 3D1     (5)3( 1.0)  4424481.5*
   269   179    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  4424886.4*
   270   681    2S2 2P5 3P2 3D1     (3)1( 2.0)  4427672.9*
   271   682    2S2 2P5 3P2 3D1     (5)4( 4.0)  4428059.7*
   272   683    2S2 2P5 3P2 3D1     (5)1( 3.0)  4429284.4*
   273   684    2S2 2P5 3P2 3D1     (3)3( 2.0)  4430689.3*
   274   685    2S2 2P5 3P2 3D1     (3)4( 3.0)  4430785.9*
   275   686    2S2 2P5 3P2 3D1     (3)3( 2.0)  4434120.7*
   276   687    2S2 2P5 3P2 3D1     (3)2( 3.0)  4434367.8*
   277   180    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  4434450.4*
   278   181    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  4434624.4*
   279   688    2S2 2P5 3P2 3D1     (1)0( 0.0)  4435094.3*
   280   689    2S2 2P5 3P2 3D1     (3)1( 1.0)  4435886.7*
   281   182    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  4435926.5*
   282   690    2S2 2P5 3P2 3D1     (3)3( 3.0)  4438171.9*
   283   691    2S2 2P5 3P2 3D1     (5)4( 2.0)  4440439.5*
   284   692    2S2 2P5 3P2 3D1     (3)0( 1.0)  4441115.1*
   285   693    2S2 2P5 3P2 3D1     (5)3( 3.0)  4443318.0*
   286   694    2S2 2P5 3P2 3D1     (3)3( 4.0)  4443371.9*
   287   695    2S2 2P5 3P2 3D1     (5)3( 5.0)  4443518.6*
   288   183    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  4443946.0*
   289   696    2S2 2P5 3P2 3D1     (5)3( 4.0)  4444567.5*
   290   697    2S2 2P5 3P2 3D1     (3)2( 2.0)  4452084.1*
   291   699    2S2 2P5 3P2 3D1     (3)2( 3.0)  4452614.7*
   292   700    2S2 2P5 3P2 3D1     (3)4( 3.0)  4455967.7*
   293   701    2S2 2P5 3P2 3D1     (3)5( 5.0)  4456086.8*
   294   702    2S2 2P5 3P2 3D1     (5)3( 1.0)  4456373.9*
   295   703    2S2 2P5 3P2 3D1     (5)0( 2.0)  4459329.1*
   296   704    2S2 2P5 3P2 3D1     (5)3( 2.0)  4460040.6*
   297   705    2S2 2P5 3P2 3D1     (1)4( 4.0)  4463606.1*
   298   706    2S2 2P5 3P2 3D1     (3)3( 2.0)  4464145.2*
   299   707    2S2 2P5 3P2 3D1     (3)1( 0.0)  4465048.6*
   300   708    2S2 2P5 3P2 3D1     (3)1( 1.0)  4465563.5*
   301   709    2S2 2P5 3P2 3D1     (3)3( 3.0)  4466279.8*
   302   710    2S2 2P5 3P2 3D1     (5)4( 3.0)  4466610.9*
   303   711    2S2 2P5 3P2 3D1     (5)2( 4.0)  4467451.8*
   304   712    2S2 2P5 3P2 3D1     (3)2( 2.0)  4468172.9*
   305   713    2S2 2P5 3P2 3D1     (3)5( 4.0)  4469455.3*
   306   714    2S2 2P5 3P2 3D1     (3)2( 1.0)  4469759.1*
   307   715    2S2 2P5 3P2 3D1     (1)2( 2.0)  4470436.0*
   308   716    2S2 2P5 3P2 3D1     (5)2( 3.0)  4471096.0*
   309   717    2S2 2P5 3P2 3D1     (3)4( 4.0)  4473737.3*
   310   718    2S2 2P5 3P2 3D1     (1)5( 5.0)  4474603.4*
   311   719    2S2 2P5 3P2 3D1     (5)1( 3.0)  4477589.2*
   312   720    2S2 2P5 3P2 3D1     (3)1( 0.0)  4478276.3*
   313   721    2S2 2P5 3P2 3D1     (3)2( 1.0)  4478398.5*
   314   722    2S2 2P5 3P2 3D1     (3)3( 4.0)  4479704.1*
