SEQ='MG'     NUCCHG=27                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 278051087.5  NPRNT=   5
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P6 3S1         (2)0( 0.5)        0.0 
     2          2S2 2P6 3P1         (2)1( 0.5)   291866.0 
     3          2S2 2P6 3P1         (2)1( 1.5)   316289.0 
     4          2S2 2P6 3D1         (2)2( 1.5)   723251.0 
     5          2S2 2P6 3D1         (2)2( 2.5)   728686.4 

   IC RESOLVED LEVEL INDEXING           BWNR= 282147785.7 NLVL=  1122
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   151    79    2S2 2P5 3P3         (3)1( 2.0)  7256726.4*
   152    80    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  7258700.0*
   153    81    2S2 2P5 3P3         (3)1( 0.0)  7259962.3*
   154    82    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7262248.5*
   155    83    2S2 2P5 3S1 3P1 3D1 (5)2( 2.0)  7263509.0*
   156    84    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  7264542.4*
   157    85    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7267625.2*
   158    86    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  7269312.6*
   159    87    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  7275758.4*
   160    88    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7278772.3*
   161    89    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  7278843.0*
   162    90    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  7280502.4*
   163    91    2S2 2P5 3P3         (3)1( 1.0)  7285483.7*
   164    92    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7288683.5*
   165    93    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  7288684.0*
   166    94    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7289417.6*
   167    95    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  7289641.1*
   168    96    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  7291342.0*
   169    97    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  7293678.9*
   170    98    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7295330.1*
   171    99    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  7299099.8*
   172   100    2S2 2P5 3S1 3P1 3D1 (5)3( 3.0)  7301245.8*
   173   101    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  7301304.3*
   174   102    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  7303935.4*
   175   103    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  7306987.8*
   176   104    2S2 2P5 3P3         (3)2( 1.0)  7308857.1*
   177   105    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  7313520.6*
   178   106    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  7314832.1*
   179   107    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  7315508.8*
   180   108    2S2 2P5 3P3         (3)1( 1.0)  7320288.0*
   181   109    2S2 2P5 3P3         (3)1( 2.0)  7323088.1*
   182   110    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  7323718.0*
   183   111    2S2 2P5 3P3         (1)2( 2.0)  7329751.9*
   184   112    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  7332774.1*
   185   113    2S2 2P5 3S1 3P1 3D1 (5)2( 4.0)  7336272.3*
   186   114    2S2 2P5 3S1 3P1 3D1 (5)3( 1.0)  7346360.9*
   187   115    2S2 2P5 3S1 3P1 3D1 (5)1( 2.0)  7347810.0*
   188   116    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7350991.5*
   189   117    2S2 2P5 3S1 3P1 3D1 (5)3( 2.0)  7352328.7*
   190   118    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  7353361.7*
   191   119    2S2 2P5 3S1 3P1 3D1 (5)1( 1.0)  7353962.6*
   192   120    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7356280.8*
   193   121    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  7360724.9*
   194   122    2S2 2P5 3S1 3P1 3D1 (5)1( 3.0)  7363484.7*
   195   123    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  7364603.4*
   196   124    2S2 2P5 3S1 3P1 3D1 (5)2( 0.0)  7365377.8*
   197   125    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  7367173.6*
   198   126    2S2 2P5 3S1 3P1 3D1 (3)4( 5.0)  7367784.9*
   199   127    2S2 2P5 3S1 3P1 3D1 (5)2( 1.0)  7368170.7*
   200   128    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  7368377.4*
   201   129    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7369349.3*
   202   130    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  7375309.8*
   203   131    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  7376749.9*
   204   132    2S2 2P5 3S1 3P1 3D1 (3)4( 4.0)  7380540.7*
   205   133    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7386111.7*
   206   134    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  7387609.0*
   207   135    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  7388476.2*
   208   136    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  7388859.4*
   209   137    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  7391049.7*
   210   138    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  7391686.1*
   211   139    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7397080.7*
   212   140    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  7397926.2*
   213   141    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  7398041.3*
   214   142    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  7398124.2*
   215   143    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  7399834.6*
   216   144    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  7405909.6*
   217   145    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  7406083.4*
   218   146    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  7406768.8*
   219   147    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7407215.3*
   220   148    2S2 2P5 3S1 3P1 3D1 (3)3( 3.0)  7409682.3*
   221   149    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7409686.2*
   222   150    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  7415404.6*
   223   151    2S2 2P5 3S1 3P1 3D1 (3)4( 3.0)  7415878.6*
   224   152    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  7416261.2*
   225   153    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  7419855.5*
   226   154    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  7423051.7*
   227   155    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7424199.9*
   228   156    2S2 2P5 3S1 3P1 3D1 (3)1( 2.0)  7426602.4*
   229   157    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  7435909.1*
   230   158    2S2 2P5 3S1 3P1 3D1 (1)4( 4.0)  7437912.3*
   231   159    2S2 2P5 3S1 3P1 3D1 (3)0( 1.0)  7442427.7*
   232   160    2S2 2P5 3P3         (1)0( 0.0)  7443573.5*
   233   161    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7451245.0*
   234   162    2S2 2P5 3S1 3P1 3D1 (3)3( 2.0)  7456492.7*
   235   163    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7463757.5*
   236   164    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  7473409.9*
   237   165    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  7478225.2*
   238   660    2S2 2P5 3P2 3D1     (5)2( 0.0)  7479811.0*
   239   166    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7484154.2*
   240   661    2S2 2P5 3P2 3D1     (5)2( 1.0)  7484338.5*
   241   167    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7485934.6*
   242   662    2S2 2P5 3P2 3D1     (3)2( 1.0)  7487753.9*
   243   663    2S2 2P5 3P2 3D1     (5)2( 2.0)  7490883.7*
   244   664    2S2 2P5 3P2 3D1     (3)2( 2.0)  7493974.9*
   245   665    2S2 2P5 3P2 3D1     (3)2( 3.0)  7498061.7*
   246   168    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7501396.6*
   247   169    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  7501491.9*
   248   666    2S2 2P5 3P2 3D1     (5)3( 3.0)  7502340.6*
   249   170    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  7504430.3*
   250   171    2S2 2P5 3S1 3P1 3D1 (3)3( 4.0)  7504604.7*
   251   667    2S2 2P5 3P2 3D1     (5)3( 4.0)  7505041.7*
   252   668    2S2 2P5 3P2 3D1     (5)3( 5.0)  7507231.8*
   253   172    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  7507264.4*
   254   669    2S2 2P5 3P2 3D1     (5)1( 1.0)  7507792.1*
   255   670    2S2 2P5 3P2 3D1     (5)2( 3.0)  7508838.3*
   256   671    2S2 2P5 3P2 3D1     (3)4( 4.0)  7512050.5*
   257   672    2S2 2P5 3P2 3D1     (3)3( 2.0)  7513750.0*
   258   673    2S2 2P5 3P2 3D1     (3)4( 5.0)  7515035.6*
   259   173    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7517411.7*
   260   674    2S2 2P5 3P2 3D1     (3)4( 3.0)  7517747.5*
   261   675    2S2 2P5 3P2 3D1     (5)2( 4.0)  7518634.0*
   262   676    2S2 2P5 3P2 3D1     (5)1( 2.0)  7521045.7*
   263   174    2S2 2P5 3S1 3P1 3D1 (1)3( 3.0)  7522979.3*
   264   175    2S2 2P5 3S1 3P1 3D1 (3)1( 0.0)  7523510.9*
   265   176    2S2 2P5 3S1 3P1 3D1 (3)1( 1.0)  7528288.0*
   266   678    2S2 2P5 3P2 3D1     (3)3( 4.0)  7528973.7*
   267   177    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7529030.2*
   268   679    2S2 2P5 3P2 3D1     (3)1( 2.0)  7530163.5*
   269   680    2S2 2P5 3P2 3D1     (3)4( 3.0)  7533782.9*
   270   681    2S2 2P5 3P2 3D1     (5)3( 1.0)  7535195.0*
   271   682    2S2 2P5 3P2 3D1     (5)4( 5.0)  7535282.7*
   272   683    2S2 2P5 3P2 3D1     (5)4( 4.0)  7536062.0*
   273   684    2S2 2P5 3P2 3D1     (1)0( 0.0)  7537947.9*
   274   685    2S2 2P5 3P2 3D1     (5)1( 3.0)  7540048.1*
   275   686    2S2 2P5 3P2 3D1     (3)3( 3.0)  7543744.7*
   276   687    2S2 2P5 3P2 3D1     (3)3( 2.0)  7544537.0*
   277   178    2S2 2P5 3S1 3P1 3D1 (3)2( 2.0)  7545109.8*
   278   688    2S2 2P5 3P2 3D1     (3)3( 2.0)  7546893.9*
   279   689    2S2 2P5 3P2 3D1     (1)1( 1.0)  7547838.2*
   280   690    2S2 2P5 3P2 3D1     (3)0( 1.0)  7549057.5*
   281   691    2S2 2P5 3P2 3D1     (5)3( 2.0)  7551198.0*
   282   179    2S2 2P5 3S1 3P1 3D1 (3)2( 1.0)  7551764.0*
   283   692    2S2 2P5 3P2 3D1     (3)3( 3.0)  7554995.1*
   284   693    2S2 2P5 3P2 3D1     (3)3( 3.0)  7556880.3*
   285   180    2S2 2P5 3S1 3P1 3D1 (3)2( 3.0)  7557626.5*
   286   694    2S2 2P5 3P2 3D1     (5)3( 4.0)  7557774.9*
   287   695    2S2 2P5 3P2 3D1     (5)3( 5.0)  7560890.3*
   288   696    2S2 2P5 3P2 3D1     (3)3( 4.0)  7562859.1*
   289   181    2S2 2P5 3S1 3P1 3D1 (1)2( 2.0)  7567420.1*
   290   182    2S2 2P5 3S1 3P1 3D1 (1)1( 1.0)  7568266.7*
   291   698    2S2 2P5 3P2 3D1     (5)0( 2.0)  7570794.0*
   292   699    2S2 2P5 3P2 3D1     (3)5( 5.0)  7572170.7*
   293   700    2S2 2P5 3P2 3D1     (3)2( 3.0)  7573378.3*
   294   701    2S2 2P5 3P2 3D1     (3)2( 2.0)  7575583.5*
   295   702    2S2 2P5 3P2 3D1     (3)2( 1.0)  7575965.7*
   296   703    2S2 2P5 3P2 3D1     (5)2( 4.0)  7583465.8*
   297   704    2S2 2P5 3P2 3D1     (3)1( 0.0)  7584453.5*
   298   183    2S2 2P5 3S1 3P1 3D1 (1)0( 0.0)  7587763.8*
   299   705    2S2 2P5 3P2 3D1     (5)2( 1.0)  7590708.1*
   300   706    2S2 2P5 3S1 3D2     (3)2( 2.0)  7590742.1*
   301   707    2S2 2P5 3P2 3D1     (5)2( 3.0)  7592130.1*
   302   708    2S2 2P5 3P2 3D1     (5)3( 2.0)  7592973.6*
   303   709    2S2 2P5 3P2 3D1     (3)5( 4.0)  7593737.3*
   304   710    2S2 2P5 3P2 3D1     (3)2( 1.0)  7595565.5*
   305   711    2S2 2P5 3P2 3D1     (5)1( 3.0)  7596484.6*
   306   712    2S2 2P5 3P2 3D1     (3)2( 2.0)  7599945.4*
   307   713    2S2 2P5 3P2 3D1     (3)3( 4.0)  7603129.0*
   308   714    2S2 2P5 3P2 3D1     (3)1( 0.0)  7603171.7*
   309   715    2S2 2P5 3P2 3D1     (1)3( 3.0)  7603198.5*
